Hotel,Trip Type,previous_cancellations_group,Canceled,Not Canceled,Canceled %,Not Canceled %
City Hotel,package,0 cancellations,59,86,40.69,59.31
City Hotel,package,1–2 cancellations,3,0,100.0,0.0
City Hotel,rest,0 cancellations,584,452,56.37,43.63
City Hotel,rest,1–2 cancellations,29,0,100.0,0.0
City Hotel,rest,3–5 cancellations,0,2,0.0,100.0
City Hotel,weekend,0 cancellations,1262,3065,29.17,70.83
City Hotel,weekend,1–2 cancellations,181,25,87.86,12.14
City Hotel,weekend,3–5 cancellations,1,5,16.67,83.33
City Hotel,weekend,6+ cancellations,1,2,33.33,66.67
City Hotel,work,0 cancellations,13338,20504,39.41,60.59
City Hotel,work,1–2 cancellations,2810,157,94.71,5.29
City Hotel,work,3–5 cancellations,5,31,13.89,86.11
City Hotel,work,6+ cancellations,10,28,26.32,73.68
City Hotel,work+rest,0 cancellations,12743,20694,38.11,61.89
City Hotel,work+rest,1–2 cancellations,1926,36,98.17,1.83
City Hotel,work+rest,3–5 cancellations,2,19,9.52,90.48
City Hotel,work+rest,6+ cancellations,18,11,62.07,37.93
Resort Hotel,package,0 cancellations,71,178,28.51,71.49
Resort Hotel,package,1–2 cancellations,1,0,100.0,0.0
Resort Hotel,rest,0 cancellations,1048,2591,28.8,71.2
Resort Hotel,rest,1–2 cancellations,79,7,91.86,8.14
Resort Hotel,rest,3–5 cancellations,3,0,100.0,0.0
Resort Hotel,weekend,0 cancellations,353,1829,16.18,83.82
Resort Hotel,weekend,1–2 cancellations,37,19,66.07,33.93
Resort Hotel,weekend,6+ cancellations,26,0,100.0,0.0
Resort Hotel,work,0 cancellations,2897,10301,21.95,78.05
Resort Hotel,work,1–2 cancellations,250,105,70.42,29.58
Resort Hotel,work,3–5 cancellations,7,4,63.64,36.36
Resort Hotel,work,6+ cancellations,43,0,100.0,0.0
Resort Hotel,work+rest,0 cancellations,5747,13199,30.33,69.67
Resort Hotel,work+rest,1–2 cancellations,405,31,92.89,7.11
Resort Hotel,work+rest,3–5 cancellations,7,2,77.78,22.22
Resort Hotel,work+rest,6+ cancellations,63,0,100.0,0.0
