Hotel,Origin,Trip Type,previous_cancellations_group,Canceled,Not Canceled,Canceled %,Not Canceled %
City Hotel,International,package,0 cancellations,52,78,40.0,60.0
City Hotel,Portugal,package,0 cancellations,7,8,46.67,53.33
City Hotel,Portugal,package,1–2 cancellations,3,0,100.0,0.0
City Hotel,International,rest,0 cancellations,460,399,53.55,46.45
City Hotel,Portugal,rest,0 cancellations,124,53,70.06,29.94
City Hotel,International,rest,1–2 cancellations,1,0,100.0,0.0
City Hotel,Portugal,rest,1–2 cancellations,28,0,100.0,0.0
City Hotel,Portugal,rest,3–5 cancellations,0,2,0.0,100.0
City Hotel,International,weekend,0 cancellations,600,2171,21.65,78.35
City Hotel,Portugal,weekend,0 cancellations,662,894,42.54,57.46
City Hotel,International,weekend,1–2 cancellations,1,1,50.0,50.0
City Hotel,Portugal,weekend,1–2 cancellations,180,24,88.24,11.76
City Hotel,Portugal,weekend,3–5 cancellations,1,5,16.67,83.33
City Hotel,Portugal,weekend,6+ cancellations,1,2,33.33,66.67
City Hotel,International,work,0 cancellations,4865,14745,24.81,75.19
City Hotel,Portugal,work,0 cancellations,8473,5759,59.53,40.47
City Hotel,International,work,1–2 cancellations,4,10,28.57,71.43
City Hotel,Portugal,work,1–2 cancellations,2806,147,95.02,4.98
City Hotel,Portugal,work,3–5 cancellations,5,31,13.89,86.11
City Hotel,International,work,6+ cancellations,0,8,0.0,100.0
City Hotel,Portugal,work,6+ cancellations,10,20,33.33,66.67
City Hotel,International,work+rest,0 cancellations,7006,17712,28.34,71.66
City Hotel,Portugal,work+rest,0 cancellations,5737,2982,65.8,34.2
City Hotel,International,work+rest,1–2 cancellations,12,8,60.0,40.0
City Hotel,Portugal,work+rest,1–2 cancellations,1914,28,98.56,1.44
City Hotel,Portugal,work+rest,3–5 cancellations,2,19,9.52,90.48
City Hotel,International,work+rest,6+ cancellations,0,5,0.0,100.0
City Hotel,Portugal,work+rest,6+ cancellations,18,6,75.0,25.0
Resort Hotel,International,package,0 cancellations,28,139,16.77,83.23
Resort Hotel,Portugal,package,0 cancellations,43,39,52.44,47.56
Resort Hotel,Portugal,package,1–2 cancellations,1,0,100.0,0.0
Resort Hotel,International,rest,0 cancellations,349,2213,13.62,86.38
Resort Hotel,Portugal,rest,0 cancellations,699,378,64.9,35.1
Resort Hotel,International,rest,1–2 cancellations,20,0,100.0,0.0
