tipo,adr
work,75.0
work,75.0
work,98.0
work,98.0
work,107.0
work,103.0
work,82.0
work,105.5
work,123.0
work,145.0
work,97.0
work,154.77
work,94.71
work,97.0
work,97.5
work,88.2
work,107.42
work,153.0
work+rest,97.29
work+rest,84.67
work+rest,84.67
work+rest,99.67
work+rest,94.95
work+rest,63.6
work+rest,79.5
work+rest,107.0
work+rest,94.0
work+rest,87.3
rest,62.0
rest,63.86
rest,108.3
work+rest,65.5
work+rest,108.8
work+rest,108.8
work+rest,98.0
work+rest,108.8
work+rest,108.8
work+rest,137.0
work+rest,117.81
work+rest,79.5
work+rest,123.0
work+rest,137.0
work+rest,110.7
work+rest,153.0
work+rest,58.95
work+rest,82.88
work+rest,82.35
work+rest,119.35
work+rest,67.58
rest,56.01
rest,110.7
work,88.2
work,147.0
work,107.0
work,147.0
work,117.9
work,123.0
work,98.0
work,117.81
work,135.0
work,133.0
work,58.95
work,136.33
work,153.0
work,110.5
work,97.0
work,110.3
work,82.0
work,97.0
work,73.8
work,91.5
work,114.5
work,110.3
work+rest,90.9
work+rest,123.0
work+rest,122.0
work+rest,110.7
rest,85.86
rest,58.95
rest,55.68
rest,55.68
rest,124.0
rest,111.15
rest,134.73
rest,92.45
rest,108.73
work,73.8
work,98.0
work,131.0
work,123.0
work,94.71
work,123.0
work,123.0
work,73.8
work+rest,117.0
work+rest,196.54
work+rest,99.3
work+rest,90.95
work+rest,92.67
work+rest,71.55
work+rest,96.49
work+rest,85.8
work+rest,96.3
work+rest,163.0
work+rest,172.0
work+rest,110.7
work+rest,58.95
work+rest,73.8
work+rest,97.0
work+rest,139.0
work+rest,67.24
rest,116.5
rest,96.3
rest,123.0
rest,71.55
rest,71.55
rest,149.0
work,163.0
work,79.5
work,105.0
work,123.0
work,73.8
work,113.0
work,123.0
work+rest,73.8
work+rest,114.5
work+rest,73.8
work+rest,73.8
weekend,88.2
weekend,97.0
weekend,85.1
weekend,89.0
weekend,80.1
weekend,98.0
weekend,101.0
weekend,97.0
weekend,167.0
weekend,225.0
weekend,97.0
work+rest,87.3
work+rest,85.59
work+rest,123.0
work+rest,107.0
work+rest,163.0
work+rest,82.0
work+rest,163.0
work+rest,105.5
work+rest,164.2
work+rest,97.29
work+rest,114.0
work+rest,98.4
package,175.0
rest,63.6
rest,124.45
rest,110.7
rest,74.07
rest,134.1
work+rest,167.0
work+rest,123.0
work+rest,117.81
work+rest,171.32
work+rest,210.0
work+rest,97.0
work+rest,117.81
weekend,131.0
work+rest,98.0
work+rest,87.3
work+rest,97.0
work+rest,167.0
work+rest,91.5
work+rest,73.8
work+rest,123.0
work+rest,175.0
work+rest,117.8
work+rest,117.63
work+rest,185.0
work+rest,71.0
work+rest,47.25
package,151.0
rest,87.3
rest,120.6
rest,63.86
rest,157.1
rest,91.37
rest,73.0
rest,110.7
rest,93.6
work+rest,83.5
work,73.8
work,82.0
work,185.5
work,109.8
work,195.0
work,109.8
work,193.0
work,97.0
work,150.0
work,98.0
work,91.5
work+rest,139.0
work+rest,79.5
work+rest,47.25
rest,126.65
work,107.0
work,131.0
work,131.0
work,123.0
work,146.0
work,110.7
work,73.8
work,61.0
work,104.72
work,104.72
work,104.72
work+rest,66.42
work+rest,77.96
work+rest,112.0
work+rest,107.0
work+rest,89.68
work+rest,155.0
rest,112.0
rest,130.1
rest,100.1
work,123.0
work,124.0
work,146.0
work,97.0
work,123.0
work,153.0
work,82.0
work+rest,105.08
work+rest,65.42
work+rest,98.0
work+rest,75.46
work+rest,65.5
work+rest,90.95
work+rest,93.6
work+rest,119.25
work+rest,134.73
work+rest,112.0
rest,118.13
work,131.0
work,88.2
work,73.8
work,98.0
work,110.5
work,131.0
work,185.0
work,87.3
work,73.8
work+rest,120.0
work+rest,98.0
work+rest,96.3
work+rest,197.0
work+rest,197.0
work+rest,123.0
work+rest,82.0
work+rest,165.0
work+rest,149.4
work+rest,106.84
work+rest,161.0
work+rest,134.43
work+rest,144.43
work+rest,152.0
work+rest,125.54
work+rest,133.83
rest,159.75
rest,120.6
rest,112.2
rest,110.6
rest,105.9
work+rest,95.27
work+rest,108.83
work+rest,153.96
work+rest,120.6
work+rest,90.67
work+rest,126.67
work+rest,144.4
work+rest,99.5
work+rest,139.4
work+rest,73.8
work+rest,89.97
work+rest,123.0
work+rest,123.0
work,123.0
work,144.9
work,153.0
work,131.0
work+rest,100.0
work+rest,65.5
work+rest,123.0
work+rest,123.0
work+rest,131.0
work+rest,104.68
work+rest,166.0
rest,111.25
rest,213.75
rest,178.0
work+rest,113.9
work+rest,129.29
weekend,153.0
weekend,98.0
work+rest,169.0
work+rest,93.0
work+rest,132.29
work+rest,123.0
work+rest,117.22
work+rest,149.0
work+rest,164.57
work+rest,107.0
work+rest,117.22
work+rest,119.25
work+rest,123.0
work+rest,105.71
work+rest,123.0
work+rest,144.43
package,126.0
package,148.3
package,125.22
rest,123.0
rest,130.0
work+rest,78.84
weekend,80.1
weekend,193.0
weekend,88.2
weekend,90.71
weekend,114.5
weekend,120.2
work+rest,79.5
work+rest,117.9
work+rest,128.0
work+rest,90.95
work+rest,107.0
work+rest,130.05
work+rest,123.0
work+rest,103.8
work+rest,196.0
work+rest,149.4
work+rest,175.71
work+rest,119.7
work+rest,100.86
work+rest,100.86
work+rest,82.0
work+rest,73.8
work+rest,117.9
work+rest,82.0
work+rest,150.0
work+rest,161.0
work+rest,64.0
work+rest,123.0
work+rest,110.0
work+rest,88.2
work+rest,130.0
work+rest,88.2
work+rest,165.0
work+rest,114.0
work+rest,79.5
work+rest,132.8
work+rest,120.0
work+rest,79.5
work+rest,120.0
work+rest,144.2
work+rest,107.2
work+rest,120.0
work+rest,120.0
work+rest,163.8
work+rest,98.5
work+rest,130.5
work+rest,153.0
work+rest,98.5
work+rest,119.7
work+rest,184.6
work+rest,181.22
work+rest,100.86
weekend,100.2
work+rest,134.25
package,96.3
rest,83.09
work,105.5
work,134.0
work,8.0
work,146.0
work,126.0
work,111.15
work,136.2
work,101.8
work+rest,127.0
work+rest,161.5
work+rest,230.67
work+rest,65.7
work+rest,180.0
work+rest,168.57
rest,107.67
rest,96.9
rest,107.0
rest,73.41
rest,109.9
rest,109.9
rest,187.5
work,134.0
work,91.5
work,132.44
work+rest,106.9
work+rest,131.86
rest,216.13
work,107.0
work,107.0
work,107.0
work,107.0
work,107.0
rest,190.33
work,107.0
work,94.0
work,98.75
work,148.23
work,94.0
work,107.0
work,107.0
work,148.23
work,107.0
work,107.0
work,107.0
work,107.0
work,98.75
work,195.0
