hotel,tipo,adr
Resort Hotel,work,75.0
Resort Hotel,work,75.0
Resort Hotel,work,98.0
Resort Hotel,work,98.0
Resort Hotel,work,107.0
Resort Hotel,work,103.0
Resort Hotel,work,82.0
Resort Hotel,work,105.5
Resort Hotel,work,123.0
Resort Hotel,work,145.0
Resort Hotel,work,97.0
Resort Hotel,work,154.77
Resort Hotel,work,94.71
Resort Hotel,work,97.0
Resort Hotel,work,97.5
Resort Hotel,work,88.2
Resort Hotel,work,107.42
Resort Hotel,work,153.0
Resort Hotel,work+rest,97.29
Resort Hotel,work+rest,84.67
Resort Hotel,work+rest,84.67
Resort Hotel,work+rest,99.67
Resort Hotel,work+rest,94.95
Resort Hotel,work+rest,63.6
Resort Hotel,work+rest,79.5
Resort Hotel,work+rest,107.0
Resort Hotel,work+rest,94.0
Resort Hotel,work+rest,87.3
Resort Hotel,rest,62.0
Resort Hotel,rest,63.86
Resort Hotel,rest,108.3
Resort Hotel,work+rest,65.5
Resort Hotel,work+rest,108.8
Resort Hotel,work+rest,108.8
Resort Hotel,work+rest,98.0
Resort Hotel,work+rest,108.8
Resort Hotel,work+rest,108.8
Resort Hotel,work+rest,137.0
Resort Hotel,work+rest,117.81
Resort Hotel,work+rest,79.5
Resort Hotel,work+rest,123.0
Resort Hotel,work+rest,137.0
Resort Hotel,work+rest,110.7
Resort Hotel,work+rest,153.0
Resort Hotel,work+rest,58.95
Resort Hotel,work+rest,82.88
Resort Hotel,work+rest,82.35
Resort Hotel,work+rest,119.35
Resort Hotel,work+rest,67.58
Resort Hotel,rest,56.01
Resort Hotel,rest,110.7
Resort Hotel,work,88.2
Resort Hotel,work,147.0
Resort Hotel,work,107.0
Resort Hotel,work,147.0
Resort Hotel,work,117.9
Resort Hotel,work,123.0
Resort Hotel,work,98.0
Resort Hotel,work,117.81
Resort Hotel,work,135.0
Resort Hotel,work,133.0
Resort Hotel,work,58.95
Resort Hotel,work,136.33
Resort Hotel,work,153.0
Resort Hotel,work,110.5
Resort Hotel,work,97.0
Resort Hotel,work,110.3
Resort Hotel,work,82.0
Resort Hotel,work,97.0
Resort Hotel,work,73.8
Resort Hotel,work,91.5
Resort Hotel,work,114.5
Resort Hotel,work,110.3
Resort Hotel,work+rest,90.9
Resort Hotel,work+rest,123.0
Resort Hotel,work+rest,122.0
Resort Hotel,work+rest,110.7
Resort Hotel,rest,85.86
Resort Hotel,rest,58.95
Resort Hotel,rest,55.68
Resort Hotel,rest,55.68
Resort Hotel,rest,124.0
Resort Hotel,rest,111.15
Resort Hotel,rest,134.73
Resort Hotel,rest,92.45
Resort Hotel,rest,108.73
Resort Hotel,work,73.8
Resort Hotel,work,98.0
Resort Hotel,work,131.0
Resort Hotel,work,123.0
Resort Hotel,work,94.71
Resort Hotel,work,123.0
Resort Hotel,work,123.0
Resort Hotel,work,73.8
Resort Hotel,work+rest,117.0
Resort Hotel,work+rest,196.54
Resort Hotel,work+rest,99.3
Resort Hotel,work+rest,90.95
Resort Hotel,work+rest,92.67
Resort Hotel,work+rest,71.55
Resort Hotel,work+rest,96.49
Resort Hotel,work+rest,85.8
Resort Hotel,work+rest,96.3
Resort Hotel,work+rest,163.0
Resort Hotel,work+rest,172.0
Resort Hotel,work+rest,110.7
Resort Hotel,work+rest,58.95
Resort Hotel,work+rest,73.8
Resort Hotel,work+rest,97.0
Resort Hotel,work+rest,139.0
Resort Hotel,work+rest,67.24
Resort Hotel,rest,116.5
Resort Hotel,rest,96.3
Resort Hotel,rest,123.0
Resort Hotel,rest,71.55
Resort Hotel,rest,71.55
Resort Hotel,rest,149.0
Resort Hotel,work,163.0
Resort Hotel,work,79.5
Resort Hotel,work,105.0
Resort Hotel,work,123.0
Resort Hotel,work,73.8
Resort Hotel,work,113.0
Resort Hotel,work,123.0
Resort Hotel,work+rest,73.8
Resort Hotel,work+rest,114.5
Resort Hotel,work+rest,73.8
Resort Hotel,work+rest,73.8
Resort Hotel,weekend,88.2
Resort Hotel,weekend,97.0
Resort Hotel,weekend,85.1
Resort Hotel,weekend,89.0
Resort Hotel,weekend,80.1
Resort Hotel,weekend,98.0
Resort Hotel,weekend,101.0
Resort Hotel,weekend,97.0
Resort Hotel,weekend,167.0
Resort Hotel,weekend,225.0
Resort Hotel,weekend,97.0
Resort Hotel,work+rest,87.3
Resort Hotel,work+rest,85.59
Resort Hotel,work+rest,123.0
Resort Hotel,work+rest,107.0
Resort Hotel,work+rest,163.0
Resort Hotel,work+rest,82.0
Resort Hotel,work+rest,163.0
Resort Hotel,work+rest,105.5
Resort Hotel,work+rest,164.2
Resort Hotel,work+rest,97.29
Resort Hotel,work+rest,114.0
Resort Hotel,work+rest,98.4
Resort Hotel,package,175.0
Resort Hotel,rest,63.6
Resort Hotel,rest,124.45
Resort Hotel,rest,110.7
Resort Hotel,rest,74.07
Resort Hotel,rest,134.1
Resort Hotel,work+rest,167.0
Resort Hotel,work+rest,123.0
Resort Hotel,work+rest,117.81
Resort Hotel,work+rest,171.32
Resort Hotel,work+rest,210.0
Resort Hotel,work+rest,97.0
Resort Hotel,work+rest,117.81
Resort Hotel,weekend,131.0
Resort Hotel,work+rest,98.0
Resort Hotel,work+rest,87.3
Resort Hotel,work+rest,97.0
Resort Hotel,work+rest,167.0
Resort Hotel,work+rest,91.5
Resort Hotel,work+rest,73.8
Resort Hotel,work+rest,123.0
Resort Hotel,work+rest,175.0
Resort Hotel,work+rest,117.8
Resort Hotel,work+rest,117.63
Resort Hotel,work+rest,185.0
Resort Hotel,work+rest,71.0
Resort Hotel,work+rest,47.25
Resort Hotel,package,151.0
Resort Hotel,rest,87.3
Resort Hotel,rest,120.6
Resort Hotel,rest,63.86
Resort Hotel,rest,157.1
Resort Hotel,rest,91.37
Resort Hotel,rest,73.0
Resort Hotel,rest,110.7
Resort Hotel,rest,93.6
Resort Hotel,work+rest,83.5
Resort Hotel,work,73.8
Resort Hotel,work,82.0
Resort Hotel,work,185.5
Resort Hotel,work,109.8
Resort Hotel,work,195.0
Resort Hotel,work,109.8
Resort Hotel,work,193.0
Resort Hotel,work,97.0
Resort Hotel,work,150.0
Resort Hotel,work,98.0
Resort Hotel,work,91.5
Resort Hotel,work+rest,139.0
Resort Hotel,work+rest,79.5
Resort Hotel,work+rest,47.25
Resort Hotel,rest,126.65
Resort Hotel,work,107.0
Resort Hotel,work,131.0
Resort Hotel,work,131.0
Resort Hotel,work,123.0
Resort Hotel,work,146.0
Resort Hotel,work,110.7
Resort Hotel,work,73.8
Resort Hotel,work,61.0
Resort Hotel,work,104.72
Resort Hotel,work,104.72
Resort Hotel,work,104.72
Resort Hotel,work+rest,66.42
Resort Hotel,work+rest,77.96
Resort Hotel,work+rest,112.0
Resort Hotel,work+rest,107.0
Resort Hotel,work+rest,89.68
Resort Hotel,work+rest,155.0
Resort Hotel,rest,112.0
Resort Hotel,rest,130.1
Resort Hotel,rest,100.1
Resort Hotel,work,123.0
Resort Hotel,work,124.0
Resort Hotel,work,146.0
Resort Hotel,work,97.0
Resort Hotel,work,123.0
Resort Hotel,work,153.0
Resort Hotel,work,82.0
Resort Hotel,work+rest,105.08
Resort Hotel,work+rest,65.42
Resort Hotel,work+rest,98.0
Resort Hotel,work+rest,75.46
Resort Hotel,work+rest,65.5
Resort Hotel,work+rest,90.95
Resort Hotel,work+rest,93.6
Resort Hotel,work+rest,119.25
Resort Hotel,work+rest,134.73
Resort Hotel,work+rest,112.0
Resort Hotel,rest,118.13
Resort Hotel,work,131.0
Resort Hotel,work,88.2
Resort Hotel,work,73.8
Resort Hotel,work,98.0
Resort Hotel,work,110.5
Resort Hotel,work,131.0
Resort Hotel,work,185.0
Resort Hotel,work,87.3
Resort Hotel,work,73.8
Resort Hotel,work+rest,120.0
Resort Hotel,work+rest,98.0
Resort Hotel,work+rest,96.3
Resort Hotel,work+rest,197.0
Resort Hotel,work+rest,197.0
Resort Hotel,work+rest,123.0
Resort Hotel,work+rest,82.0
Resort Hotel,work+rest,165.0
Resort Hotel,work+rest,149.4
Resort Hotel,work+rest,106.84
Resort Hotel,work+rest,161.0
Resort Hotel,work+rest,134.43
Resort Hotel,work+rest,144.43
Resort Hotel,work+rest,152.0
Resort Hotel,work+rest,125.54
Resort Hotel,work+rest,133.83
Resort Hotel,rest,159.75
Resort Hotel,rest,120.6
Resort Hotel,rest,112.2
Resort Hotel,rest,110.6
Resort Hotel,rest,105.9
Resort Hotel,work+rest,95.27
Resort Hotel,work+rest,108.83
Resort Hotel,work+rest,153.96
Resort Hotel,work+rest,120.6
Resort Hotel,work+rest,90.67
Resort Hotel,work+rest,126.67
Resort Hotel,work+rest,144.4
Resort Hotel,work+rest,99.5
Resort Hotel,work+rest,139.4
Resort Hotel,work+rest,73.8
