origin,tipo,adr
International,work,75.0
International,work,75.0
International,work,98.0
International,work,98.0
Portugal,work,107.0
Portugal,work,103.0
Portugal,work,82.0
Portugal,work,105.5
Portugal,work,123.0
Portugal,work,145.0
International,work,97.0
International,work,154.77
Portugal,work,94.71
International,work,97.0
Portugal,work,97.5
International,work,88.2
International,work,107.42
International,work,153.0
International,work+rest,97.29
Portugal,work+rest,84.67
Portugal,work+rest,84.67
Portugal,work+rest,99.67
International,work+rest,94.95
Portugal,work+rest,63.6
International,work+rest,79.5
Portugal,work+rest,107.0
Portugal,work+rest,94.0
Portugal,work+rest,87.3
International,rest,62.0
International,rest,63.86
Portugal,rest,108.3
International,work+rest,65.5
Portugal,work+rest,108.8
Portugal,work+rest,108.8
International,work+rest,98.0
Portugal,work+rest,108.8
Portugal,work+rest,108.8
International,work+rest,137.0
Portugal,work+rest,117.81
International,work+rest,79.5
International,work+rest,123.0
International,work+rest,137.0
Portugal,work+rest,110.7
Portugal,work+rest,153.0
International,work+rest,58.95
International,work+rest,82.88
International,work+rest,82.35
International,work+rest,119.35
International,work+rest,67.58
International,rest,56.01
International,rest,110.7
International,work,88.2
International,work,147.0
International,work,107.0
Portugal,work,147.0
Portugal,work,117.9
Portugal,work,123.0
International,work,98.0
Portugal,work,117.81
International,work,135.0
International,work,133.0
International,work,58.95
Portugal,work,136.33
International,work,153.0
International,work,110.5
International,work,97.0
Portugal,work,110.3
Portugal,work,82.0
Portugal,work,97.0
Portugal,work,73.8
Portugal,work,91.5
International,work,114.5
Portugal,work,110.3
International,work+rest,90.9
Portugal,work+rest,123.0
Portugal,work+rest,122.0
International,work+rest,110.7
Portugal,rest,85.86
International,rest,58.95
Portugal,rest,55.68
International,rest,55.68
Portugal,rest,124.0
International,rest,111.15
International,rest,134.73
International,rest,92.45
Portugal,rest,108.73
International,work,73.8
Portugal,work,98.0
International,work,131.0
Portugal,work,123.0
International,work,94.71
International,work,123.0
Portugal,work,123.0
Portugal,work,73.8
Portugal,work+rest,117.0
International,work+rest,196.54
Portugal,work+rest,99.3
International,work+rest,90.95
International,work+rest,92.67
International,work+rest,71.55
International,work+rest,96.49
Portugal,work+rest,85.8
Portugal,work+rest,96.3
Portugal,work+rest,163.0
Portugal,work+rest,172.0
Portugal,work+rest,110.7
Portugal,work+rest,58.95
Portugal,work+rest,73.8
International,work+rest,97.0
Portugal,work+rest,139.0
International,work+rest,67.24
Portugal,rest,116.5
Portugal,rest,96.3
Portugal,rest,123.0
International,rest,71.55
Portugal,rest,71.55
Portugal,rest,149.0
Portugal,work,163.0
Portugal,work,79.5
Portugal,work,105.0
Portugal,work,123.0
Portugal,work,73.8
Portugal,work,113.0
International,work,123.0
International,work+rest,73.8
Portugal,work+rest,114.5
International,work+rest,73.8
International,work+rest,73.8
International,weekend,88.2
Portugal,weekend,97.0
International,weekend,85.1
International,weekend,89.0
Portugal,weekend,80.1
Portugal,weekend,98.0
International,weekend,101.0
Portugal,weekend,97.0
Portugal,weekend,167.0
Portugal,weekend,225.0
International,weekend,97.0
International,work+rest,87.3
International,work+rest,85.59
International,work+rest,123.0
Portugal,work+rest,107.0
International,work+rest,163.0
Portugal,work+rest,82.0
Portugal,work+rest,163.0
Portugal,work+rest,105.5
Portugal,work+rest,164.2
International,work+rest,97.29
Portugal,work+rest,114.0
International,work+rest,98.4
International,package,175.0
Portugal,rest,63.6
Portugal,rest,124.45
International,rest,110.7
International,rest,74.07
International,rest,134.1
Portugal,work+rest,167.0
Portugal,work+rest,123.0
International,work+rest,117.81
International,work+rest,171.32
International,work+rest,210.0
Portugal,work+rest,97.0
International,work+rest,117.81
Portugal,weekend,131.0
Portugal,work+rest,98.0
International,work+rest,87.3
International,work+rest,97.0
Portugal,work+rest,167.0
Portugal,work+rest,91.5
Portugal,work+rest,73.8
Portugal,work+rest,123.0
Portugal,work+rest,175.0
International,work+rest,117.8
Portugal,work+rest,117.63
Portugal,work+rest,185.0
Portugal,work+rest,71.0
International,work+rest,47.25
Portugal,package,151.0
Portugal,rest,87.3
International,rest,120.6
International,rest,63.86
Portugal,rest,157.1
International,rest,91.37
International,rest,73.0
International,rest,110.7
International,rest,93.6
Portugal,work+rest,83.5
Portugal,work,73.8
International,work,82.0
Portugal,work,185.5
International,work,109.8
Portugal,work,195.0
International,work,109.8
International,work,193.0
Portugal,work,97.0
International,work,150.0
International,work,98.0
Portugal,work,91.5
Portugal,work+rest,139.0
International,work+rest,79.5
Portugal,work+rest,47.25
International,rest,126.65
International,work,107.0
Portugal,work,131.0
International,work,131.0
Portugal,work,123.0
International,work,146.0
Portugal,work,110.7
Portugal,work,73.8
Portugal,work,61.0
Portugal,work,104.72
Portugal,work,104.72
International,work,104.72
Portugal,work+rest,66.42
Portugal,work+rest,77.96
Portugal,work+rest,112.0
International,work+rest,107.0
International,work+rest,89.68
Portugal,work+rest,155.0
International,rest,112.0
International,rest,130.1
International,rest,100.1
Portugal,work,123.0
International,work,124.0
Portugal,work,146.0
Portugal,work,97.0
Portugal,work,123.0
Portugal,work,153.0
Portugal,work,82.0
Portugal,work+rest,105.08
Portugal,work+rest,65.42
International,work+rest,98.0
International,work+rest,75.46
International,work+rest,65.5
International,work+rest,90.95
International,work+rest,93.6
International,work+rest,119.25
International,work+rest,134.73
Portugal,work+rest,112.0
Portugal,rest,118.13
International,work,131.0
Portugal,work,88.2
Portugal,work,73.8
Portugal,work,98.0
Portugal,work,110.5
Portugal,work,131.0
Portugal,work,185.0
Portugal,work,87.3
Portugal,work,73.8
International,work+rest,120.0
International,work+rest,98.0
International,work+rest,96.3
Portugal,work+rest,197.0
Portugal,work+rest,197.0
Portugal,work+rest,123.0
International,work+rest,82.0
Portugal,work+rest,165.0
International,work+rest,149.4
Portugal,work+rest,106.84
Portugal,work+rest,161.0
Portugal,work+rest,134.43
Portugal,work+rest,144.43
International,work+rest,152.0
International,work+rest,125.54
Portugal,work+rest,133.83
Portugal,rest,159.75
International,rest,120.6
Portugal,rest,112.2
International,rest,110.6
International,rest,105.9
International,work+rest,95.27
International,work+rest,108.83
Portugal,work+rest,153.96
International,work+rest,120.6
Portugal,work+rest,90.67
Portugal,work+rest,126.67
Portugal,work+rest,144.4
International,work+rest,99.5
Portugal,work+rest,139.4
Portugal,work+rest,73.8
International,work+rest,89.97
Portugal,work+rest,123.0
International,work+rest,123.0
International,work,123.0
International,work,144.9
International,work,153.0
International,work,131.0
Portugal,work+rest,100.0
International,work+rest,65.5
International,work+rest,123.0
Portugal,work+rest,123.0
International,work+rest,131.0
Portugal,work+rest,104.68
Portugal,work+rest,166.0
Portugal,rest,111.25
Portugal,rest,213.75
Portugal,rest,178.0
Portugal,work+rest,113.9
Portugal,work+rest,129.29
International,weekend,153.0
Portugal,weekend,98.0
Portugal,work+rest,169.0
Portugal,work+rest,93.0
International,work+rest,132.29
International,work+rest,123.0
Portugal,work+rest,117.22
International,work+rest,149.0
Portugal,work+rest,164.57
International,work+rest,107.0
Portugal,work+rest,117.22
Portugal,work+rest,119.25
International,work+rest,123.0
Portugal,work+rest,105.71
International,work+rest,123.0
International,work+rest,144.43
Portugal,package,126.0
International,package,148.3
Portugal,package,125.22
International,rest,123.0
International,rest,130.0
International,work+rest,78.84
Portugal,weekend,80.1
International,weekend,193.0
International,weekend,88.2
International,weekend,90.71
International,weekend,114.5
International,weekend,120.2
International,work+rest,79.5
International,work+rest,117.9
Portugal,work+rest,128.0
International,work+rest,90.95
International,work+rest,107.0
International,work+rest,130.05
International,work+rest,123.0
Portugal,work+rest,103.8
International,work+rest,196.0
International,work+rest,149.4
International,work+rest,175.71
Portugal,work+rest,119.7
Portugal,work+rest,100.86
International,work+rest,100.86
International,work+rest,82.0
International,work+rest,73.8
International,work+rest,117.9
International,work+rest,82.0
Portugal,work+rest,150.0
International,work+rest,161.0
International,work+rest,64.0
Portugal,work+rest,123.0
International,work+rest,110.0
Portugal,work+rest,88.2
International,work+rest,130.0
Portugal,work+rest,88.2
International,work+rest,165.0
Portugal,work+rest,114.0
Portugal,work+rest,79.5
Portugal,work+rest,132.8
International,work+rest,120.0
Portugal,work+rest,79.5
Portugal,work+rest,120.0
Portugal,work+rest,144.2
Portugal,work+rest,107.2
Portugal,work+rest,120.0
International,work+rest,120.0
Portugal,work+rest,163.8
Portugal,work+rest,98.5
Portugal,work+rest,130.5
Portugal,work+rest,153.0
International,work+rest,98.5
Portugal,work+rest,119.7
Portugal,work+rest,184.6
International,work+rest,181.22
Portugal,work+rest,100.86
International,weekend,100.2
International,work+rest,134.25
International,package,96.3
International,rest,83.09
Portugal,work,105.5
Portugal,work,134.0
Portugal,work,8.0
Portugal,work,146.0
Portugal,work,126.0
International,work,111.15
International,work,136.2
Portugal,work,101.8
Portugal,work+rest,127.0
Portugal,work+rest,161.5
Portugal,work+rest,230.67
Portugal,work+rest,65.7
International,work+rest,180.0
International,work+rest,168.57
Portugal,rest,107.67
Portugal,rest,96.9
International,rest,107.0
International,rest,73.41
International,rest,109.9
International,rest,109.9
Portugal,rest,187.5
Portugal,work,134.0
Portugal,work,91.5
Portugal,work,132.44
International,work+rest,106.9
Portugal,work+rest,131.86
International,rest,216.13
Portugal,work,107.0
Portugal,work,107.0
Portugal,work,107.0
Portugal,work,107.0
Portugal,work,107.0
International,rest,190.33
Portugal,work,107.0
Portugal,work,94.0
Portugal,work,98.75
Portugal,work,148.23
Portugal,work,94.0
Portugal,work,107.0
Portugal,work,107.0
Portugal,work,148.23
Portugal,work,107.0
Portugal,work,107.0
Portugal,work,107.0
Portugal,work,107.0
Portugal,work,98.75
Portugal,work,195.0
International,work,120.6
International,work,123.2
Portugal,work,112.0
Portugal,work,123.2
International,work,169.0
Portugal,work,198.0
Portugal,work,103.5
Portugal,work,135.6
International,work,103.5
International,work,184.0
Portugal,work,134.0
Portugal,work,147.0
Portugal,work,151.33
International,work,121.33
International,work+rest,150.2
Portugal,work+rest,139.0
International,work+rest,150.2
Portugal,work+rest,75.44
Portugal,work+rest,135.0
Portugal,work+rest,166.0
Portugal,work+rest,135.0
International,work+rest,130.0
Portugal,rest,96.3
Portugal,rest,160.0
Portugal,work,127.25
Portugal,work,164.0
Portugal,work,144.5
Portugal,work,112.0
Portugal,work,134.0
Portugal,work,127.25
International,work,155.5
Portugal,work,110.5
Portugal,work,144.5
International,work,144.5
Portugal,work,123.0
Portugal,work,120.6
Portugal,work,107.6
Portugal,work+rest,120.6
Portugal,work+rest,107.0
Portugal,work+rest,133.75
International,work+rest,103.5
Portugal,work+rest,84.8
Portugal,work+rest,107.0
Portugal,work+rest,107.0
Portugal,work+rest,84.8
Portugal,work+rest,107.0
Portugal,work+rest,195.0
Portugal,work+rest,164.0
International,work+rest,195.0
International,work+rest,125.0
Portugal,work+rest,195.0
Portugal,work+rest,132.3
Portugal,work+rest,145.0
International,work+rest,92.0
Portugal,work+rest,132.3
International,rest,147.0
International,rest,167.0
International,rest,210.0
International,rest,194.9
International,work+rest,103.5
International,work+rest,118.5
Portugal,work+rest,192.0
International,work+rest,128.27
International,work+rest,135.0
International,work+rest,126.3
Portugal,work+rest,154.0
International,work+rest,96.3
International,work+rest,126.3
Portugal,work,136.0
International,work+rest,118.5
International,work+rest,116.33
Portugal,work+rest,164.0
International,work+rest,147.67
Portugal,work+rest,145.0
International,work+rest,147.0
Portugal,work+rest,168.3
Portugal,work+rest,167.0
Portugal,work+rest,137.75
Portugal,work+rest,145.0
Portugal,work+rest,132.6
Portugal,work+rest,147.0
Portugal,work+rest,157.0
Portugal,work+rest,210.0
