hotel,adr
Resort Hotel,75.0
Resort Hotel,75.0
Resort Hotel,98.0
Resort Hotel,98.0
Resort Hotel,107.0
Resort Hotel,103.0
Resort Hotel,82.0
Resort Hotel,105.5
Resort Hotel,123.0
Resort Hotel,145.0
Resort Hotel,97.0
Resort Hotel,154.77
Resort Hotel,94.71
Resort Hotel,97.0
Resort Hotel,97.5
Resort Hotel,88.2
Resort Hotel,107.42
Resort Hotel,153.0
Resort Hotel,97.29
Resort Hotel,84.67
Resort Hotel,84.67
Resort Hotel,99.67
Resort Hotel,94.95
Resort Hotel,63.6
Resort Hotel,79.5
Resort Hotel,107.0
Resort Hotel,94.0
Resort Hotel,87.3
Resort Hotel,62.0
Resort Hotel,63.86
Resort Hotel,108.3
Resort Hotel,65.5
Resort Hotel,108.8
Resort Hotel,108.8
Resort Hotel,98.0
Resort Hotel,108.8
Resort Hotel,108.8
Resort Hotel,137.0
Resort Hotel,117.81
Resort Hotel,79.5
Resort Hotel,123.0
Resort Hotel,137.0
Resort Hotel,110.7
Resort Hotel,153.0
Resort Hotel,58.95
Resort Hotel,82.88
Resort Hotel,82.35
Resort Hotel,119.35
Resort Hotel,67.58
Resort Hotel,56.01
Resort Hotel,110.7
Resort Hotel,88.2
Resort Hotel,147.0
Resort Hotel,107.0
Resort Hotel,147.0
Resort Hotel,117.9
Resort Hotel,123.0
Resort Hotel,98.0
Resort Hotel,117.81
Resort Hotel,135.0
Resort Hotel,133.0
Resort Hotel,58.95
Resort Hotel,136.33
Resort Hotel,153.0
Resort Hotel,110.5
Resort Hotel,97.0
Resort Hotel,110.3
Resort Hotel,82.0
Resort Hotel,97.0
Resort Hotel,73.8
Resort Hotel,91.5
Resort Hotel,114.5
Resort Hotel,110.3
Resort Hotel,90.9
Resort Hotel,123.0
Resort Hotel,122.0
Resort Hotel,110.7
Resort Hotel,85.86
Resort Hotel,58.95
Resort Hotel,55.68
Resort Hotel,55.68
Resort Hotel,124.0
Resort Hotel,111.15
Resort Hotel,134.73
Resort Hotel,92.45
Resort Hotel,108.73
Resort Hotel,73.8
Resort Hotel,98.0
Resort Hotel,131.0
Resort Hotel,123.0
Resort Hotel,94.71
Resort Hotel,123.0
Resort Hotel,123.0
Resort Hotel,73.8
Resort Hotel,117.0
Resort Hotel,196.54
Resort Hotel,99.3
Resort Hotel,90.95
Resort Hotel,92.67
Resort Hotel,71.55
Resort Hotel,96.49
Resort Hotel,85.8
Resort Hotel,96.3
Resort Hotel,163.0
Resort Hotel,172.0
Resort Hotel,110.7
Resort Hotel,58.95
Resort Hotel,73.8
Resort Hotel,97.0
Resort Hotel,139.0
Resort Hotel,67.24
Resort Hotel,116.5
Resort Hotel,96.3
Resort Hotel,123.0
Resort Hotel,71.55
Resort Hotel,71.55
Resort Hotel,149.0
Resort Hotel,163.0
Resort Hotel,79.5
Resort Hotel,105.0
Resort Hotel,123.0
Resort Hotel,73.8
Resort Hotel,113.0
Resort Hotel,123.0
Resort Hotel,73.8
Resort Hotel,114.5
Resort Hotel,73.8
Resort Hotel,73.8
Resort Hotel,88.2
Resort Hotel,97.0
Resort Hotel,85.1
Resort Hotel,89.0
Resort Hotel,80.1
Resort Hotel,98.0
Resort Hotel,101.0
Resort Hotel,97.0
Resort Hotel,167.0
Resort Hotel,225.0
Resort Hotel,97.0
Resort Hotel,87.3
Resort Hotel,85.59
Resort Hotel,123.0
Resort Hotel,107.0
Resort Hotel,163.0
Resort Hotel,82.0
Resort Hotel,163.0
Resort Hotel,105.5
Resort Hotel,164.2
Resort Hotel,97.29
Resort Hotel,114.0
Resort Hotel,98.4
Resort Hotel,175.0
Resort Hotel,63.6
Resort Hotel,124.45
Resort Hotel,110.7
Resort Hotel,74.07
Resort Hotel,134.1
Resort Hotel,167.0
Resort Hotel,123.0
Resort Hotel,117.81
Resort Hotel,171.32
Resort Hotel,210.0
Resort Hotel,97.0
Resort Hotel,117.81
Resort Hotel,131.0
Resort Hotel,98.0
Resort Hotel,87.3
Resort Hotel,97.0
Resort Hotel,167.0
Resort Hotel,91.5
Resort Hotel,73.8
Resort Hotel,123.0
Resort Hotel,175.0
Resort Hotel,117.8
Resort Hotel,117.63
Resort Hotel,185.0
Resort Hotel,71.0
Resort Hotel,47.25
Resort Hotel,151.0
Resort Hotel,87.3
Resort Hotel,120.6
Resort Hotel,63.86
Resort Hotel,157.1
Resort Hotel,91.37
Resort Hotel,73.0
Resort Hotel,110.7
Resort Hotel,93.6
Resort Hotel,83.5
Resort Hotel,73.8
Resort Hotel,82.0
Resort Hotel,185.5
Resort Hotel,109.8
Resort Hotel,195.0
Resort Hotel,109.8
Resort Hotel,193.0
Resort Hotel,97.0
Resort Hotel,150.0
Resort Hotel,98.0
Resort Hotel,91.5
Resort Hotel,139.0
Resort Hotel,79.5
Resort Hotel,47.25
Resort Hotel,126.65
Resort Hotel,107.0
Resort Hotel,131.0
Resort Hotel,131.0
Resort Hotel,123.0
Resort Hotel,146.0
Resort Hotel,110.7
Resort Hotel,73.8
Resort Hotel,61.0
Resort Hotel,104.72
Resort Hotel,104.72
Resort Hotel,104.72
Resort Hotel,66.42
Resort Hotel,77.96
Resort Hotel,112.0
Resort Hotel,107.0
Resort Hotel,89.68
Resort Hotel,155.0
Resort Hotel,112.0
Resort Hotel,130.1
Resort Hotel,100.1
Resort Hotel,123.0
Resort Hotel,124.0
Resort Hotel,146.0
Resort Hotel,97.0
Resort Hotel,123.0
Resort Hotel,153.0
Resort Hotel,82.0
Resort Hotel,105.08
Resort Hotel,65.42
Resort Hotel,98.0
Resort Hotel,75.46
Resort Hotel,65.5
Resort Hotel,90.95
Resort Hotel,93.6
Resort Hotel,119.25
Resort Hotel,134.73
Resort Hotel,112.0
Resort Hotel,118.13
Resort Hotel,131.0
Resort Hotel,88.2
Resort Hotel,73.8
Resort Hotel,98.0
Resort Hotel,110.5
Resort Hotel,131.0
Resort Hotel,185.0
Resort Hotel,87.3
Resort Hotel,73.8
Resort Hotel,120.0
Resort Hotel,98.0
Resort Hotel,96.3
Resort Hotel,197.0
Resort Hotel,197.0
Resort Hotel,123.0
Resort Hotel,82.0
Resort Hotel,165.0
Resort Hotel,149.4
Resort Hotel,106.84
Resort Hotel,161.0
Resort Hotel,134.43
Resort Hotel,144.43
Resort Hotel,152.0
Resort Hotel,125.54
Resort Hotel,133.83
Resort Hotel,159.75
Resort Hotel,120.6
Resort Hotel,112.2
Resort Hotel,110.6
Resort Hotel,105.9
Resort Hotel,95.27
Resort Hotel,108.83
Resort Hotel,153.96
Resort Hotel,120.6
Resort Hotel,90.67
Resort Hotel,126.67
Resort Hotel,144.4
Resort Hotel,99.5
Resort Hotel,139.4
Resort Hotel,73.8
Resort Hotel,89.97
Resort Hotel,123.0
Resort Hotel,123.0
Resort Hotel,123.0
Resort Hotel,144.9
Resort Hotel,153.0
Resort Hotel,131.0
Resort Hotel,100.0
Resort Hotel,65.5
Resort Hotel,123.0
Resort Hotel,123.0
Resort Hotel,131.0
Resort Hotel,104.68
Resort Hotel,166.0
Resort Hotel,111.25
Resort Hotel,213.75
Resort Hotel,178.0
Resort Hotel,113.9
Resort Hotel,129.29
Resort Hotel,153.0
Resort Hotel,98.0
Resort Hotel,169.0
Resort Hotel,93.0
Resort Hotel,132.29
Resort Hotel,123.0
Resort Hotel,117.22
Resort Hotel,149.0
Resort Hotel,164.57
Resort Hotel,107.0
Resort Hotel,117.22
Resort Hotel,119.25
Resort Hotel,123.0
Resort Hotel,105.71
Resort Hotel,123.0
Resort Hotel,144.43
Resort Hotel,126.0
Resort Hotel,148.3
Resort Hotel,125.22
Resort Hotel,123.0
Resort Hotel,130.0
Resort Hotel,78.84
