origin,adr
International,75.0
International,75.0
International,98.0
International,98.0
Portugal,107.0
Portugal,103.0
Portugal,82.0
Portugal,105.5
Portugal,123.0
Portugal,145.0
International,97.0
International,154.77
Portugal,94.71
International,97.0
Portugal,97.5
International,88.2
International,107.42
International,153.0
International,97.29
Portugal,84.67
Portugal,84.67
Portugal,99.67
International,94.95
Portugal,63.6
International,79.5
Portugal,107.0
Portugal,94.0
Portugal,87.3
International,62.0
International,63.86
Portugal,108.3
International,65.5
Portugal,108.8
Portugal,108.8
International,98.0
Portugal,108.8
Portugal,108.8
International,137.0
Portugal,117.81
International,79.5
International,123.0
International,137.0
Portugal,110.7
Portugal,153.0
International,58.95
International,82.88
International,82.35
International,119.35
International,67.58
International,56.01
International,110.7
International,88.2
International,147.0
International,107.0
Portugal,147.0
Portugal,117.9
Portugal,123.0
International,98.0
Portugal,117.81
International,135.0
International,133.0
International,58.95
Portugal,136.33
International,153.0
International,110.5
International,97.0
Portugal,110.3
Portugal,82.0
Portugal,97.0
Portugal,73.8
Portugal,91.5
International,114.5
Portugal,110.3
International,90.9
Portugal,123.0
Portugal,122.0
International,110.7
Portugal,85.86
International,58.95
Portugal,55.68
International,55.68
Portugal,124.0
International,111.15
International,134.73
International,92.45
Portugal,108.73
International,73.8
Portugal,98.0
International,131.0
Portugal,123.0
International,94.71
International,123.0
Portugal,123.0
Portugal,73.8
Portugal,117.0
International,196.54
Portugal,99.3
International,90.95
International,92.67
International,71.55
International,96.49
Portugal,85.8
Portugal,96.3
Portugal,163.0
Portugal,172.0
Portugal,110.7
Portugal,58.95
Portugal,73.8
International,97.0
Portugal,139.0
International,67.24
Portugal,116.5
Portugal,96.3
Portugal,123.0
International,71.55
Portugal,71.55
Portugal,149.0
Portugal,163.0
Portugal,79.5
Portugal,105.0
Portugal,123.0
Portugal,73.8
Portugal,113.0
International,123.0
International,73.8
Portugal,114.5
International,73.8
International,73.8
International,88.2
Portugal,97.0
International,85.1
International,89.0
Portugal,80.1
Portugal,98.0
International,101.0
Portugal,97.0
Portugal,167.0
Portugal,225.0
International,97.0
International,87.3
International,85.59
International,123.0
Portugal,107.0
International,163.0
Portugal,82.0
Portugal,163.0
Portugal,105.5
Portugal,164.2
International,97.29
Portugal,114.0
International,98.4
International,175.0
Portugal,63.6
Portugal,124.45
International,110.7
International,74.07
International,134.1
Portugal,167.0
Portugal,123.0
International,117.81
International,171.32
International,210.0
Portugal,97.0
International,117.81
Portugal,131.0
Portugal,98.0
International,87.3
International,97.0
Portugal,167.0
Portugal,91.5
Portugal,73.8
Portugal,123.0
Portugal,175.0
International,117.8
Portugal,117.63
Portugal,185.0
Portugal,71.0
International,47.25
Portugal,151.0
Portugal,87.3
International,120.6
International,63.86
Portugal,157.1
International,91.37
International,73.0
International,110.7
International,93.6
Portugal,83.5
Portugal,73.8
International,82.0
Portugal,185.5
International,109.8
Portugal,195.0
International,109.8
International,193.0
Portugal,97.0
International,150.0
International,98.0
Portugal,91.5
Portugal,139.0
International,79.5
Portugal,47.25
International,126.65
International,107.0
Portugal,131.0
International,131.0
Portugal,123.0
International,146.0
Portugal,110.7
Portugal,73.8
Portugal,61.0
Portugal,104.72
Portugal,104.72
International,104.72
Portugal,66.42
Portugal,77.96
Portugal,112.0
International,107.0
International,89.68
Portugal,155.0
International,112.0
International,130.1
International,100.1
Portugal,123.0
International,124.0
Portugal,146.0
Portugal,97.0
Portugal,123.0
Portugal,153.0
Portugal,82.0
Portugal,105.08
Portugal,65.42
International,98.0
International,75.46
International,65.5
International,90.95
International,93.6
International,119.25
International,134.73
Portugal,112.0
Portugal,118.13
International,131.0
Portugal,88.2
Portugal,73.8
Portugal,98.0
Portugal,110.5
Portugal,131.0
Portugal,185.0
Portugal,87.3
Portugal,73.8
International,120.0
International,98.0
International,96.3
Portugal,197.0
Portugal,197.0
Portugal,123.0
International,82.0
Portugal,165.0
International,149.4
Portugal,106.84
Portugal,161.0
Portugal,134.43
Portugal,144.43
International,152.0
International,125.54
Portugal,133.83
Portugal,159.75
International,120.6
Portugal,112.2
International,110.6
International,105.9
International,95.27
International,108.83
Portugal,153.96
International,120.6
Portugal,90.67
Portugal,126.67
Portugal,144.4
International,99.5
Portugal,139.4
Portugal,73.8
International,89.97
Portugal,123.0
International,123.0
International,123.0
International,144.9
International,153.0
International,131.0
Portugal,100.0
International,65.5
International,123.0
Portugal,123.0
International,131.0
Portugal,104.68
Portugal,166.0
Portugal,111.25
Portugal,213.75
Portugal,178.0
Portugal,113.9
Portugal,129.29
International,153.0
Portugal,98.0
Portugal,169.0
Portugal,93.0
International,132.29
International,123.0
Portugal,117.22
International,149.0
Portugal,164.57
International,107.0
Portugal,117.22
Portugal,119.25
International,123.0
Portugal,105.71
International,123.0
International,144.43
Portugal,126.0
International,148.3
Portugal,125.22
International,123.0
International,130.0
International,78.84
Portugal,80.1
International,193.0
International,88.2
International,90.71
International,114.5
International,120.2
International,79.5
International,117.9
Portugal,128.0
International,90.95
International,107.0
International,130.05
International,123.0
Portugal,103.8
International,196.0
International,149.4
International,175.71
Portugal,119.7
Portugal,100.86
International,100.86
International,82.0
International,73.8
International,117.9
International,82.0
Portugal,150.0
International,161.0
International,64.0
Portugal,123.0
International,110.0
Portugal,88.2
International,130.0
Portugal,88.2
International,165.0
Portugal,114.0
Portugal,79.5
Portugal,132.8
International,120.0
Portugal,79.5
Portugal,120.0
Portugal,144.2
Portugal,107.2
Portugal,120.0
International,120.0
Portugal,163.8
Portugal,98.5
Portugal,130.5
Portugal,153.0
International,98.5
Portugal,119.7
Portugal,184.6
International,181.22
Portugal,100.86
International,100.2
International,134.25
International,96.3
International,83.09
Portugal,105.5
Portugal,134.0
Portugal,8.0
Portugal,146.0
Portugal,126.0
International,111.15
International,136.2
Portugal,101.8
Portugal,127.0
Portugal,161.5
Portugal,230.67
Portugal,65.7
International,180.0
International,168.57
Portugal,107.67
Portugal,96.9
International,107.0
International,73.41
International,109.9
International,109.9
Portugal,187.5
Portugal,134.0
Portugal,91.5
Portugal,132.44
International,106.9
Portugal,131.86
International,216.13
Portugal,107.0
Portugal,107.0
Portugal,107.0
Portugal,107.0
Portugal,107.0
International,190.33
Portugal,107.0
Portugal,94.0
Portugal,98.75
Portugal,148.23
Portugal,94.0
Portugal,107.0
Portugal,107.0
Portugal,148.23
Portugal,107.0
Portugal,107.0
Portugal,107.0
Portugal,107.0
Portugal,98.75
Portugal,195.0
International,120.6
International,123.2
Portugal,112.0
Portugal,123.2
International,169.0
Portugal,198.0
Portugal,103.5
Portugal,135.6
International,103.5
International,184.0
Portugal,134.0
Portugal,147.0
Portugal,151.33
International,121.33
International,150.2
Portugal,139.0
International,150.2
Portugal,75.44
Portugal,135.0
Portugal,166.0
Portugal,135.0
International,130.0
Portugal,96.3
Portugal,160.0
Portugal,127.25
Portugal,164.0
Portugal,144.5
Portugal,112.0
Portugal,134.0
Portugal,127.25
International,155.5
Portugal,110.5
Portugal,144.5
International,144.5
Portugal,123.0
Portugal,120.6
Portugal,107.6
Portugal,120.6
Portugal,107.0
Portugal,133.75
International,103.5
Portugal,84.8
Portugal,107.0
Portugal,107.0
Portugal,84.8
Portugal,107.0
Portugal,195.0
Portugal,164.0
International,195.0
International,125.0
Portugal,195.0
Portugal,132.3
Portugal,145.0
International,92.0
Portugal,132.3
International,147.0
International,167.0
International,210.0
International,194.9
International,103.5
International,118.5
Portugal,192.0
International,128.27
International,135.0
International,126.3
Portugal,154.0
International,96.3
International,126.3
Portugal,136.0
International,118.5
International,116.33
Portugal,164.0
International,147.67
Portugal,145.0
International,147.0
Portugal,168.3
Portugal,167.0
Portugal,137.75
Portugal,145.0
Portugal,132.6
Portugal,147.0
Portugal,157.0
Portugal,210.0
Portugal,132.5
International,98.02
Portugal,126.0
Portugal,173.0
Portugal,249.0
Portugal,186.5
International,95.0
Portugal,241.5
International,177.0
Portugal,153.73
Portugal,115.0
Portugal,127.03
Portugal,128.25
Portugal,128.25
Portugal,115.0
International,135.0
Portugal,167.0
International,135.0
International,124.5
Portugal,98.0
Portugal,98.0
International,135.0
Portugal,88.2
Portugal,120.6
Portugal,154.5
Portugal,145.0
Portugal,92.0
Portugal,154.0
Portugal,115.0
Portugal,110.53
Portugal,158.5
International,131.37
Portugal,117.71
International,123.0
Portugal,158.5
International,117.84
Portugal,154.0
International,116.85
Portugal,129.16
Portugal,214.0
Portugal,115.0
International,123.0
International,123.0
Portugal,195.0
International,135.2
International,123.0
International,130.5
Portugal,123.0
Portugal,179.1
Portugal,115.0
Portugal,115.0
International,103.5
Portugal,157.0
Portugal,135.0
International,111.65
Portugal,135.0
Portugal,195.0
International,104.0
Portugal,135.0
Portugal,214.0
Portugal,133.17
Portugal,141.33
International,121.01
Portugal,240.64
International,167.5
Portugal,152.43
International,148.34
International,167.0
Portugal,172.93
Portugal,179.1
Portugal,192.5
Portugal,92.0
Portugal,111.2
Portugal,141.6
Portugal,141.6
Portugal,141.6
Portugal,200.0
Portugal,200.0
Portugal,157.0
Portugal,99.5
Portugal,115.0
Portugal,195.0
Portugal,103.5
Portugal,207.0
Portugal,163.33
International,151.86
International,95.57
Portugal,112.05
International,160.0
International,103.18
International,153.0
Portugal,119.75
Portugal,135.0
International,167.69
Portugal,195.0
Portugal,135.0
Portugal,178.4
Portugal,154.0
Portugal,134.0
Portugal,112.0
International,194.0
Portugal,153.0
Portugal,135.0
International,184.0
Portugal,210.0
Portugal,139.0
International,101.46
Portugal,145.0
Portugal,173.0
International,217.05
International,164.0
International,173.0
Portugal,112.5
International,153.0
International,173.0
International,153.0
Portugal,134.0
International,153.0
Portugal,233.0
International,154.0
International,173.0
Portugal,135.0
Portugal,132.5
International,222.67
Portugal,135.0
International,107.0
Portugal,127.0
Portugal,135.0
International,149.7
Portugal,161.25
International,107.0
International,75.44
International,75.44
Portugal,115.0
Portugal,159.2
Portugal,163.29
Portugal,210.0
Portugal,154.0
International,166.0
International,132.5
Portugal,107.0
Portugal,121.98
Portugal,133.0
International,107.0
International,117.81
International,107.0
Portugal,120.6
Portugal,147.0
Portugal,153.0
Portugal,153.0
Portugal,134.0
International,153.0
Portugal,118.0
International,134.0
Portugal,135.0
International,158.77
International,134.0
Portugal,134.0
Portugal,142.03
Portugal,240.0
International,134.0
Portugal,134.0
Portugal,147.0
Portugal,176.0
Portugal,120.6
Portugal,166.0
Portugal,134.0
Portugal,147.0
Portugal,167.0
Portugal,107.2
Portugal,131.63
International,233.05
International,90.12
Portugal,120.6
Portugal,125.0
Portugal,154.0
Portugal,120.6
International,114.25
Portugal,107.0
Portugal,88.55
Portugal,149.0
Portugal,195.0
Portugal,164.0
Portugal,154.0
Portugal,120.6
International,103.5
International,115.0
Portugal,95.02
Portugal,132.5
Portugal,209.0
Portugal,95.02
Portugal,132.5
International,180.0
International,103.18
