hotel,origin,adr
Resort Hotel,International,75.0
Resort Hotel,International,75.0
Resort Hotel,International,98.0
Resort Hotel,International,98.0
Resort Hotel,Portugal,107.0
Resort Hotel,Portugal,103.0
Resort Hotel,Portugal,82.0
Resort Hotel,Portugal,105.5
Resort Hotel,Portugal,123.0
Resort Hotel,Portugal,145.0
Resort Hotel,International,97.0
Resort Hotel,International,154.77
Resort Hotel,Portugal,94.71
Resort Hotel,International,97.0
Resort Hotel,Portugal,97.5
Resort Hotel,International,88.2
Resort Hotel,International,107.42
Resort Hotel,International,153.0
Resort Hotel,International,97.29
Resort Hotel,Portugal,84.67
Resort Hotel,Portugal,84.67
Resort Hotel,Portugal,99.67
Resort Hotel,International,94.95
Resort Hotel,Portugal,63.6
Resort Hotel,International,79.5
Resort Hotel,Portugal,107.0
Resort Hotel,Portugal,94.0
Resort Hotel,Portugal,87.3
Resort Hotel,International,62.0
Resort Hotel,International,63.86
Resort Hotel,Portugal,108.3
Resort Hotel,International,65.5
Resort Hotel,Portugal,108.8
Resort Hotel,Portugal,108.8
Resort Hotel,International,98.0
Resort Hotel,Portugal,108.8
Resort Hotel,Portugal,108.8
Resort Hotel,International,137.0
Resort Hotel,Portugal,117.81
Resort Hotel,International,79.5
Resort Hotel,International,123.0
Resort Hotel,International,137.0
Resort Hotel,Portugal,110.7
Resort Hotel,Portugal,153.0
Resort Hotel,International,58.95
Resort Hotel,International,82.88
Resort Hotel,International,82.35
Resort Hotel,International,119.35
Resort Hotel,International,67.58
Resort Hotel,International,56.01
Resort Hotel,International,110.7
Resort Hotel,International,88.2
Resort Hotel,International,147.0
Resort Hotel,International,107.0
Resort Hotel,Portugal,147.0
Resort Hotel,Portugal,117.9
Resort Hotel,Portugal,123.0
Resort Hotel,International,98.0
Resort Hotel,Portugal,117.81
Resort Hotel,International,135.0
Resort Hotel,International,133.0
Resort Hotel,International,58.95
Resort Hotel,Portugal,136.33
Resort Hotel,International,153.0
Resort Hotel,International,110.5
Resort Hotel,International,97.0
Resort Hotel,Portugal,110.3
Resort Hotel,Portugal,82.0
Resort Hotel,Portugal,97.0
Resort Hotel,Portugal,73.8
Resort Hotel,Portugal,91.5
Resort Hotel,International,114.5
Resort Hotel,Portugal,110.3
Resort Hotel,International,90.9
Resort Hotel,Portugal,123.0
