previous_cancellations_group,adr
0 cancellations,75.0
0 cancellations,75.0
0 cancellations,98.0
0 cancellations,98.0
0 cancellations,107.0
0 cancellations,103.0
0 cancellations,82.0
0 cancellations,105.5
0 cancellations,123.0
0 cancellations,145.0
0 cancellations,97.0
0 cancellations,154.77
0 cancellations,94.71
0 cancellations,97.0
0 cancellations,97.5
0 cancellations,88.2
0 cancellations,107.42
0 cancellations,153.0
0 cancellations,97.29
0 cancellations,84.67
0 cancellations,84.67
0 cancellations,99.67
0 cancellations,94.95
0 cancellations,63.6
0 cancellations,79.5
0 cancellations,107.0
0 cancellations,94.0
0 cancellations,87.3
0 cancellations,62.0
0 cancellations,63.86
0 cancellations,108.3
0 cancellations,65.5
0 cancellations,108.8
0 cancellations,108.8
0 cancellations,98.0
0 cancellations,108.8
0 cancellations,108.8
0 cancellations,137.0
0 cancellations,117.81
0 cancellations,79.5
0 cancellations,123.0
0 cancellations,137.0
0 cancellations,110.7
0 cancellations,153.0
0 cancellations,58.95
0 cancellations,82.88
0 cancellations,82.35
0 cancellations,119.35
0 cancellations,67.58
0 cancellations,56.01
0 cancellations,110.7
0 cancellations,88.2
0 cancellations,147.0
0 cancellations,107.0
0 cancellations,147.0
0 cancellations,117.9
0 cancellations,123.0
0 cancellations,98.0
0 cancellations,117.81
0 cancellations,135.0
0 cancellations,133.0
0 cancellations,58.95
0 cancellations,136.33
0 cancellations,153.0
0 cancellations,110.5
0 cancellations,97.0
0 cancellations,110.3
0 cancellations,82.0
0 cancellations,97.0
0 cancellations,73.8
0 cancellations,91.5
0 cancellations,114.5
0 cancellations,110.3
0 cancellations,90.9
0 cancellations,123.0
0 cancellations,122.0
0 cancellations,110.7
0 cancellations,85.86
0 cancellations,58.95
0 cancellations,55.68
0 cancellations,55.68
0 cancellations,124.0
0 cancellations,111.15
0 cancellations,134.73
0 cancellations,92.45
0 cancellations,108.73
0 cancellations,73.8
0 cancellations,98.0
0 cancellations,131.0
0 cancellations,123.0
0 cancellations,94.71
0 cancellations,123.0
0 cancellations,123.0
0 cancellations,73.8
0 cancellations,117.0
0 cancellations,196.54
0 cancellations,99.3
0 cancellations,90.95
0 cancellations,92.67
0 cancellations,71.55
0 cancellations,96.49
0 cancellations,85.8
0 cancellations,96.3
0 cancellations,163.0
0 cancellations,172.0
0 cancellations,110.7
0 cancellations,58.95
0 cancellations,73.8
0 cancellations,97.0
0 cancellations,139.0
0 cancellations,67.24
0 cancellations,116.5
0 cancellations,96.3
0 cancellations,123.0
0 cancellations,71.55
0 cancellations,71.55
0 cancellations,149.0
0 cancellations,163.0
0 cancellations,79.5
0 cancellations,105.0
0 cancellations,123.0
0 cancellations,73.8
0 cancellations,113.0
0 cancellations,123.0
0 cancellations,73.8
0 cancellations,114.5
0 cancellations,73.8
0 cancellations,73.8
0 cancellations,88.2
0 cancellations,97.0
0 cancellations,85.1
0 cancellations,89.0
0 cancellations,80.1
0 cancellations,98.0
0 cancellations,101.0
0 cancellations,97.0
0 cancellations,167.0
0 cancellations,225.0
0 cancellations,97.0
0 cancellations,87.3
0 cancellations,85.59
0 cancellations,123.0
0 cancellations,107.0
0 cancellations,163.0
0 cancellations,82.0
0 cancellations,163.0
0 cancellations,105.5
0 cancellations,164.2
0 cancellations,97.29
0 cancellations,114.0
0 cancellations,98.4
0 cancellations,175.0
0 cancellations,63.6
0 cancellations,124.45
0 cancellations,110.7
0 cancellations,74.07
0 cancellations,134.1
0 cancellations,167.0
0 cancellations,123.0
0 cancellations,117.81
0 cancellations,171.32
0 cancellations,210.0
0 cancellations,97.0
0 cancellations,117.81
0 cancellations,131.0
0 cancellations,98.0
0 cancellations,87.3
0 cancellations,97.0
0 cancellations,167.0
0 cancellations,91.5
0 cancellations,73.8
0 cancellations,123.0
0 cancellations,175.0
0 cancellations,117.8
0 cancellations,117.63
0 cancellations,185.0
0 cancellations,71.0
0 cancellations,47.25
0 cancellations,151.0
0 cancellations,87.3
0 cancellations,120.6
0 cancellations,63.86
0 cancellations,157.1
0 cancellations,91.37
0 cancellations,73.0
0 cancellations,110.7
0 cancellations,93.6
0 cancellations,83.5
0 cancellations,73.8
0 cancellations,82.0
0 cancellations,185.5
0 cancellations,109.8
0 cancellations,195.0
0 cancellations,109.8
0 cancellations,193.0
0 cancellations,97.0
0 cancellations,150.0
0 cancellations,98.0
0 cancellations,91.5
0 cancellations,139.0
0 cancellations,79.5
0 cancellations,47.25
0 cancellations,126.65
0 cancellations,107.0
0 cancellations,131.0
0 cancellations,131.0
0 cancellations,123.0
0 cancellations,146.0
0 cancellations,110.7
0 cancellations,73.8
0 cancellations,61.0
0 cancellations,104.72
0 cancellations,104.72
0 cancellations,104.72
0 cancellations,66.42
0 cancellations,77.96
0 cancellations,112.0
0 cancellations,107.0
0 cancellations,89.68
0 cancellations,155.0
0 cancellations,112.0
0 cancellations,130.1
0 cancellations,100.1
0 cancellations,123.0
0 cancellations,124.0
0 cancellations,146.0
0 cancellations,97.0
0 cancellations,123.0
0 cancellations,153.0
0 cancellations,82.0
0 cancellations,105.08
0 cancellations,65.42
0 cancellations,98.0
0 cancellations,75.46
0 cancellations,65.5
0 cancellations,90.95
0 cancellations,93.6
0 cancellations,119.25
0 cancellations,134.73
0 cancellations,112.0
0 cancellations,118.13
0 cancellations,131.0
0 cancellations,88.2
0 cancellations,73.8
0 cancellations,98.0
0 cancellations,110.5
0 cancellations,131.0
0 cancellations,185.0
0 cancellations,87.3
0 cancellations,73.8
0 cancellations,120.0
0 cancellations,98.0
0 cancellations,96.3
0 cancellations,197.0
0 cancellations,197.0
0 cancellations,123.0
0 cancellations,82.0
0 cancellations,165.0
0 cancellations,149.4
0 cancellations,106.84
0 cancellations,161.0
0 cancellations,134.43
0 cancellations,144.43
0 cancellations,152.0
0 cancellations,125.54
0 cancellations,133.83
0 cancellations,159.75
0 cancellations,120.6
0 cancellations,112.2
0 cancellations,110.6
0 cancellations,105.9
0 cancellations,95.27
0 cancellations,108.83
0 cancellations,153.96
0 cancellations,120.6
0 cancellations,90.67
0 cancellations,126.67
0 cancellations,144.4
0 cancellations,99.5
0 cancellations,139.4
0 cancellations,73.8
0 cancellations,89.97
0 cancellations,123.0
0 cancellations,123.0
0 cancellations,123.0
0 cancellations,144.9
0 cancellations,153.0
0 cancellations,131.0
0 cancellations,100.0
0 cancellations,65.5
0 cancellations,123.0
0 cancellations,123.0
0 cancellations,131.0
0 cancellations,104.68
0 cancellations,166.0
0 cancellations,111.25
0 cancellations,213.75
0 cancellations,178.0
0 cancellations,113.9
0 cancellations,129.29
0 cancellations,153.0
0 cancellations,98.0
0 cancellations,169.0
0 cancellations,93.0
0 cancellations,132.29
0 cancellations,123.0
0 cancellations,117.22
0 cancellations,149.0
0 cancellations,164.57
0 cancellations,107.0
0 cancellations,117.22
0 cancellations,119.25
0 cancellations,123.0
0 cancellations,105.71
0 cancellations,123.0
0 cancellations,144.43
0 cancellations,126.0
0 cancellations,148.3
0 cancellations,125.22
0 cancellations,123.0
0 cancellations,130.0
0 cancellations,78.84
0 cancellations,80.1
0 cancellations,193.0
0 cancellations,88.2
0 cancellations,90.71
0 cancellations,114.5
0 cancellations,120.2
0 cancellations,79.5
0 cancellations,117.9
0 cancellations,128.0
0 cancellations,90.95
0 cancellations,107.0
0 cancellations,130.05
0 cancellations,123.0
0 cancellations,103.8
0 cancellations,196.0
0 cancellations,149.4
0 cancellations,175.71
0 cancellations,119.7
0 cancellations,100.86
0 cancellations,100.86
0 cancellations,82.0
0 cancellations,73.8
0 cancellations,117.9
0 cancellations,82.0
0 cancellations,150.0
0 cancellations,161.0
0 cancellations,64.0
0 cancellations,123.0
0 cancellations,110.0
0 cancellations,88.2
0 cancellations,130.0
0 cancellations,88.2
0 cancellations,165.0
0 cancellations,114.0
0 cancellations,79.5
0 cancellations,132.8
0 cancellations,120.0
0 cancellations,79.5
0 cancellations,120.0
0 cancellations,144.2
0 cancellations,107.2
0 cancellations,120.0
0 cancellations,120.0
0 cancellations,163.8
0 cancellations,98.5
0 cancellations,130.5
0 cancellations,153.0
0 cancellations,98.5
0 cancellations,119.7
0 cancellations,184.6
0 cancellations,181.22
0 cancellations,100.86
0 cancellations,100.2
0 cancellations,134.25
0 cancellations,96.3
0 cancellations,83.09
0 cancellations,105.5
0 cancellations,134.0
0 cancellations,8.0
0 cancellations,146.0
0 cancellations,126.0
0 cancellations,111.15
0 cancellations,136.2
0 cancellations,101.8
0 cancellations,127.0
0 cancellations,161.5
0 cancellations,230.67
0 cancellations,65.7
0 cancellations,180.0
0 cancellations,168.57
0 cancellations,107.67
0 cancellations,96.9
0 cancellations,107.0
0 cancellations,73.41
0 cancellations,109.9
0 cancellations,109.9
0 cancellations,187.5
0 cancellations,134.0
0 cancellations,91.5
0 cancellations,132.44
0 cancellations,106.9
0 cancellations,131.86
0 cancellations,216.13
0 cancellations,107.0
0 cancellations,107.0
0 cancellations,107.0
0 cancellations,107.0
0 cancellations,107.0
0 cancellations,190.33
0 cancellations,107.0
0 cancellations,94.0
0 cancellations,98.75
0 cancellations,148.23
0 cancellations,94.0
0 cancellations,107.0
0 cancellations,107.0
0 cancellations,148.23
0 cancellations,107.0
0 cancellations,107.0
0 cancellations,107.0
0 cancellations,107.0
0 cancellations,98.75
