origin,tipo,statistic,value
International,package,mean,119.66329966329967
International,rest,mean,103.20859093550261
International,weekend,mean,106.66546296296296
International,work,mean,111.34649980687524
International,work+rest,mean,108.41611434292054
Portugal,package,mean,133.16455445544554
Portugal,rest,mean,111.14773835920178
Portugal,weekend,mean,89.66992068737608
Portugal,work,mean,90.11508211382115
Portugal,work+rest,mean,101.10036892554615
International,package,median,107.1
International,rest,median,90.045
International,weekend,median,99.0
International,work,median,105.3
International,work+rest,median,99.45
Portugal,package,median,131.6
Portugal,rest,median,98.1
Portugal,weekend,median,80.0
Portugal,work,median,81.0
Portugal,work+rest,median,90.0
International,package,std,61.04808043572089
International,rest,std,51.50407588926551
International,weekend,std,41.97905682265846
International,work,std,45.23291207259679
International,work+rest,std,47.057035880441504
Portugal,package,std,56.0845277509716
Portugal,rest,std,59.92126772275856
Portugal,weekend,std,43.94012752074306
Portugal,work,std,41.29001252205993
Portugal,work+rest,std,49.25499810348286
International,package,min,1.56
International,rest,min,0.26
International,weekend,min,3.0
International,work,min,1.0
International,work+rest,min,1.0
Portugal,package,min,10.5
Portugal,rest,min,8.0
Portugal,weekend,min,4.0
Portugal,work,min,1.0
Portugal,work+rest,min,1.0
International,package,max,397.38
International,rest,max,309.0
International,weekend,max,335.0
International,work,max,510.0
International,work+rest,max,402.0
Portugal,package,max,281.0
Portugal,rest,max,450.0
Portugal,weekend,max,372.0
Portugal,work,max,508.0
Portugal,work+rest,max,451.5
International,package,count,297.0
International,rest,count,3442.0
International,weekend,count,3780.0
International,work,count,25890.0
International,work+rest,count,36959.0
Portugal,package,count,101.0
Portugal,rest,count,1353.0
Portugal,weekend,count,3026.0
Portugal,work,count,24600.0
Portugal,work+rest,count,17944.0
