origin,week,Canceled,Not canceled,total,cancel_rate
International,2015-06-29,0.0,106.0,106.0,0.0
International,2015-07-06,11.0,125.0,136.0,8.09
International,2015-07-13,18.0,125.0,143.0,12.59
International,2015-07-20,20.0,149.0,169.0,11.83
International,2015-07-27,16.0,188.0,204.0,7.84
International,2015-08-03,20.0,301.0,321.0,6.23
International,2015-08-10,21.0,340.0,361.0,5.82
International,2015-08-17,13.0,299.0,312.0,4.17
International,2015-08-24,43.0,269.0,312.0,13.78
International,2015-08-31,55.0,489.0,544.0,10.11
International,2015-09-07,31.0,368.0,399.0,7.77
International,2015-09-14,96.0,490.0,586.0,16.38
International,2015-09-21,19.0,529.0,548.0,3.47
International,2015-09-28,15.0,446.0,461.0,3.25
International,2015-10-05,100.0,414.0,514.0,19.46
International,2015-10-12,20.0,521.0,541.0,3.7
International,2015-10-19,2.0,459.0,461.0,0.43
International,2015-10-26,0.0,312.0,312.0,0.0
International,2015-11-02,0.0,301.0,301.0,0.0
International,2015-11-09,0.0,172.0,172.0,0.0
International,2015-11-16,3.0,253.0,256.0,1.17
International,2015-11-23,3.0,252.0,255.0,1.18
International,2015-11-30,26.0,369.0,395.0,6.58
International,2015-12-07,2.0,129.0,131.0,1.53
International,2015-12-14,4.0,128.0,132.0,3.03
International,2015-12-21,10.0,284.0,294.0,3.4
International,2015-12-28,17.0,330.0,347.0,4.9
International,2016-01-04,10.0,195.0,205.0,4.88
International,2016-01-11,38.0,186.0,224.0,16.96
International,2016-01-18,31.0,237.0,268.0,11.57
International,2016-01-25,43.0,210.0,253.0,17.0
International,2016-02-01,66.0,346.0,412.0,16.02
International,2016-02-08,92.0,407.0,499.0,18.44
International,2016-02-15,51.0,308.0,359.0,14.21
International,2016-02-22,77.0,379.0,456.0,16.89
International,2016-02-29,99.0,367.0,466.0,21.24
International,2016-03-07,116.0,503.0,619.0,18.74
International,2016-03-14,105.0,511.0,616.0,17.05
International,2016-03-21,147.0,519.0,666.0,22.07
International,2016-03-28,133.0,498.0,631.0,21.08
International,2016-04-04,157.0,567.0,724.0,21.69
International,2016-04-11,179.0,522.0,701.0,25.53
International,2016-04-18,157.0,569.0,726.0,21.63
International,2016-04-25,182.0,583.0,765.0,23.79
International,2016-05-02,119.0,567.0,686.0,17.35
International,2016-05-09,148.0,665.0,813.0,18.2
International,2016-05-16,127.0,616.0,743.0,17.09
International,2016-05-23,84.0,555.0,639.0,13.15
International,2016-05-30,117.0,572.0,689.0,16.98
International,2016-06-06,117.0,551.0,668.0,17.51
International,2016-06-13,109.0,533.0,642.0,16.98
International,2016-06-20,123.0,575.0,698.0,17.62
International,2016-06-27,183.0,454.0,637.0,28.73
International,2016-07-04,169.0,443.0,612.0,27.61
International,2016-07-11,185.0,499.0,684.0,27.05
International,2016-07-18,170.0,536.0,706.0,24.08
International,2016-07-25,166.0,554.0,720.0,23.06
International,2016-08-01,215.0,558.0,773.0,27.81
International,2016-08-08,252.0,594.0,846.0,29.79
International,2016-08-15,249.0,619.0,868.0,28.69
International,2016-08-22,263.0,553.0,816.0,32.23
International,2016-08-29,232.0,576.0,808.0,28.71
International,2016-09-05,161.0,537.0,698.0,23.07
International,2016-09-12,143.0,739.0,882.0,16.21
International,2016-09-19,173.0,658.0,831.0,20.82
International,2016-09-26,246.0,603.0,849.0,28.98
International,2016-10-03,218.0,743.0,961.0,22.68
International,2016-10-10,184.0,732.0,916.0,20.09
International,2016-10-17,256.0,663.0,919.0,27.86
International,2016-10-24,318.0,669.0,987.0,32.22
International,2016-10-31,155.0,588.0,743.0,20.86
International,2016-11-07,137.0,566.0,703.0,19.49
International,2016-11-14,183.0,522.0,705.0,25.96
International,2016-11-21,128.0,399.0,527.0,24.29
International,2016-11-28,156.0,384.0,540.0,28.89
International,2016-12-05,187.0,372.0,559.0,33.45
International,2016-12-12,137.0,260.0,397.0,34.51
International,2016-12-19,175.0,351.0,526.0,33.27
International,2016-12-26,266.0,454.0,720.0,36.94
International,2017-01-02,200.0,399.0,599.0,33.39
International,2017-01-09,129.0,286.0,415.0,31.08
