hotel,origin,week,Canceled,Not canceled,total,cancel_rate
City Hotel,International,2015-07-06,11.0,0.0,11.0,100.0
City Hotel,International,2015-07-13,18.0,0.0,18.0,100.0
City Hotel,International,2015-07-20,20.0,17.0,37.0,54.05
City Hotel,International,2015-07-27,16.0,46.0,62.0,25.81
City Hotel,International,2015-08-03,20.0,191.0,211.0,9.48
City Hotel,International,2015-08-10,21.0,219.0,240.0,8.75
City Hotel,International,2015-08-17,13.0,189.0,202.0,6.44
City Hotel,International,2015-08-24,43.0,147.0,190.0,22.63
City Hotel,International,2015-08-31,1.0,319.0,320.0,0.31
City Hotel,International,2015-09-07,29.0,205.0,234.0,12.39
City Hotel,International,2015-09-14,2.0,279.0,281.0,0.71
City Hotel,International,2015-09-21,1.0,338.0,339.0,0.29
City Hotel,International,2015-09-28,2.0,238.0,240.0,0.83
City Hotel,International,2015-10-05,0.0,244.0,244.0,0.0
City Hotel,International,2015-10-12,16.0,298.0,314.0,5.1
City Hotel,International,2015-10-19,0.0,262.0,262.0,0.0
City Hotel,International,2015-10-26,0.0,225.0,225.0,0.0
City Hotel,International,2015-11-02,0.0,149.0,149.0,0.0
City Hotel,International,2015-11-09,0.0,99.0,99.0,0.0
City Hotel,International,2015-11-16,0.0,106.0,106.0,0.0
City Hotel,International,2015-11-23,3.0,172.0,175.0,1.71
City Hotel,International,2015-11-30,26.0,185.0,211.0,12.32
City Hotel,International,2015-12-07,2.0,66.0,68.0,2.94
City Hotel,International,2015-12-14,4.0,60.0,64.0,6.25
City Hotel,International,2015-12-21,10.0,148.0,158.0,6.33
City Hotel,International,2015-12-28,17.0,250.0,267.0,6.37
City Hotel,International,2016-01-04,10.0,113.0,123.0,8.13
City Hotel,International,2016-01-11,38.0,107.0,145.0,26.21
City Hotel,International,2016-01-18,31.0,157.0,188.0,16.49
City Hotel,International,2016-01-25,43.0,134.0,177.0,24.29
City Hotel,International,2016-02-01,66.0,235.0,301.0,21.93
City Hotel,International,2016-02-08,92.0,248.0,340.0,27.06
City Hotel,International,2016-02-15,50.0,203.0,253.0,19.76
City Hotel,International,2016-02-22,74.0,228.0,302.0,24.5
City Hotel,International,2016-02-29,98.0,271.0,369.0,26.56
City Hotel,International,2016-03-07,114.0,330.0,444.0,25.68
City Hotel,International,2016-03-14,103.0,313.0,416.0,24.76
City Hotel,International,2016-03-21,140.0,321.0,461.0,30.37
