Lead Time,Hotel,Origin,% Cancellations
0,City Hotel,International,3.33
0,City Hotel,Portugal,14.43
0,City Hotel,Total,8.95
0,Resort Hotel,International,1.96
0,Resort Hotel,Portugal,6.61
0,Resort Hotel,Total,4.76
1-7,City Hotel,International,8.75
1-7,City Hotel,Portugal,21.0
1-7,City Hotel,Total,13.68
1-7,Resort Hotel,International,3.39
1-7,Resort Hotel,Portugal,10.33
1-7,Resort Hotel,Total,7.5
8-15,City Hotel,International,22.37
8-15,City Hotel,Portugal,34.73
8-15,City Hotel,Total,26.0
8-15,Resort Hotel,International,8.11
8-15,Resort Hotel,Portugal,27.79
8-15,Resort Hotel,Total,17.67
16-30,City Hotel,International,27.0
16-30,City Hotel,Portugal,54.74
16-30,City Hotel,Total,34.8
16-30,Resort Hotel,International,17.12
16-30,Resort Hotel,Portugal,38.56
16-30,Resort Hotel,Total,25.3
31-90,City Hotel,International,28.86
31-90,City Hotel,Portugal,65.22
31-90,City Hotel,Total,40.1
31-90,Resort Hotel,International,19.54
31-90,Resort Hotel,Portugal,53.38
31-90,Resort Hotel,Total,32.74
91-180,City Hotel,International,32.67
91-180,City Hotel,Portugal,76.81
91-180,City Hotel,Total,48.11
91-180,Resort Hotel,International,20.32
91-180,Resort Hotel,Portugal,64.46
91-180,Resort Hotel,Total,37.65
181-365,City Hotel,International,34.93
181-365,City Hotel,Portugal,88.61
181-365,City Hotel,Total,62.88
181-365,Resort Hotel,International,22.15
181-365,Resort Hotel,Portugal,77.96
181-365,Resort Hotel,Total,41.41
+365,City Hotel,International,0.55
+365,City Hotel,Portugal,97.56
+365,City Hotel,Total,71.4
+365,Resort Hotel,International,0.92
+365,Resort Hotel,Portugal,92.69
+365,Resort Hotel,Total,47.02
