hotel,origin,country,Status,count,percentage
City Hotel,International,DEU,Canceled,1072,17.71
City Hotel,International,DEU,Not canceled,4982,82.29
City Hotel,International,ESP,Canceled,1326,28.95
City Hotel,International,ESP,Not canceled,3254,71.05
City Hotel,International,FRA,Canceled,1721,19.64
City Hotel,International,FRA,Not canceled,7041,80.36
City Hotel,International,GBR,Canceled,1560,29.47
City Hotel,International,GBR,Not canceled,3733,70.53
City Hotel,Portugal,PRT,Canceled,19971,66.68
City Hotel,Portugal,PRT,Not canceled,9980,33.32
Resort Hotel,International,DEU,Canceled,146,12.25
Resort Hotel,International,DEU,Not canceled,1046,87.75
Resort Hotel,International,ESP,Canceled,850,21.75
Resort Hotel,International,ESP,Not canceled,3058,78.25
Resort Hotel,International,FRA,Canceled,211,13.21
Resort Hotel,International,FRA,Not canceled,1386,86.79
Resort Hotel,International,GBR,Canceled,891,13.19
Resort Hotel,International,GBR,Not canceled,5866,86.81
Resort Hotel,Portugal,PRT,Canceled,7359,43.1
Resort Hotel,Portugal,PRT,Not canceled,9714,56.9
City Hotel,Total,DEU,Canceled,1072,17.71
City Hotel,Total,DEU,Not canceled,4982,82.29
City Hotel,Total,ESP,Canceled,1326,28.95
City Hotel,Total,ESP,Not canceled,3254,71.05
City Hotel,Total,FRA,Canceled,1721,19.64
City Hotel,Total,FRA,Not canceled,7041,80.36
City Hotel,Total,GBR,Canceled,1560,29.47
City Hotel,Total,GBR,Not canceled,3733,70.53
City Hotel,Total,PRT,Canceled,19971,66.68
City Hotel,Total,PRT,Not canceled,9980,33.32
Resort Hotel,Total,DEU,Canceled,146,12.25
Resort Hotel,Total,DEU,Not canceled,1046,87.75
Resort Hotel,Total,ESP,Canceled,850,21.75
Resort Hotel,Total,ESP,Not canceled,3058,78.25
Resort Hotel,Total,FRA,Canceled,211,13.21
Resort Hotel,Total,FRA,Not canceled,1386,86.79
Resort Hotel,Total,GBR,Canceled,891,13.19
Resort Hotel,Total,GBR,Not canceled,5866,86.81
Resort Hotel,Total,PRT,Canceled,7359,43.1
Resort Hotel,Total,PRT,Not canceled,9714,56.9
