hotel,origin,tipo,previous_cancellations_group,Status,count,percentage
City Hotel,International,package,0 cancellations,Canceled,52,40.0
City Hotel,International,package,0 cancellations,Not canceled,78,60.0
City Hotel,Portugal,package,0 cancellations,Canceled,7,46.67
City Hotel,Portugal,package,0 cancellations,Not canceled,8,53.33
City Hotel,Portugal,package,1–2 cancellations,Canceled,3,100.0
City Hotel,International,rest,0 cancellations,Canceled,460,53.55
City Hotel,International,rest,0 cancellations,Not canceled,399,46.45
City Hotel,Portugal,rest,0 cancellations,Canceled,124,70.06
City Hotel,Portugal,rest,0 cancellations,Not canceled,53,29.94
City Hotel,International,rest,1–2 cancellations,Canceled,1,100.0
City Hotel,Portugal,rest,1–2 cancellations,Canceled,28,100.0
City Hotel,Portugal,rest,3–5 cancellations,Not canceled,2,100.0
City Hotel,International,weekend,0 cancellations,Canceled,600,21.65
City Hotel,International,weekend,0 cancellations,Not canceled,2171,78.35
City Hotel,Portugal,weekend,0 cancellations,Canceled,662,42.54
City Hotel,Portugal,weekend,0 cancellations,Not canceled,894,57.46
City Hotel,International,weekend,1–2 cancellations,Canceled,1,50.0
City Hotel,International,weekend,1–2 cancellations,Not canceled,1,50.0
City Hotel,Portugal,weekend,1–2 cancellations,Canceled,180,88.24
City Hotel,Portugal,weekend,1–2 cancellations,Not canceled,24,11.76
City Hotel,Portugal,weekend,3–5 cancellations,Canceled,1,16.67
City Hotel,Portugal,weekend,3–5 cancellations,Not canceled,5,83.33
City Hotel,Portugal,weekend,6+ cancellations,Canceled,1,33.33
City Hotel,Portugal,weekend,6+ cancellations,Not canceled,2,66.67
City Hotel,International,work,0 cancellations,Canceled,4865,24.81
City Hotel,International,work,0 cancellations,Not canceled,14745,75.19
City Hotel,Portugal,work,0 cancellations,Canceled,8473,59.53
City Hotel,Portugal,work,0 cancellations,Not canceled,5759,40.47
City Hotel,International,work,1–2 cancellations,Canceled,4,28.57
City Hotel,International,work,1–2 cancellations,Not canceled,10,71.43
City Hotel,Portugal,work,1–2 cancellations,Canceled,2806,95.02
City Hotel,Portugal,work,1–2 cancellations,Not canceled,147,4.98
City Hotel,Portugal,work,3–5 cancellations,Canceled,5,13.89
City Hotel,Portugal,work,3–5 cancellations,Not canceled,31,86.11
