Label,2015-06-29,2015-07-06,2015-07-13,2015-07-20,2015-07-27,2015-08-03,2015-08-10,2015-08-17,2015-08-24,2015-08-31,2015-09-07,2015-09-14,2015-09-21,2015-09-28,2015-10-05,2015-10-12,2015-10-19,2015-10-26,2015-11-02,2015-11-09,2015-11-16,2015-11-23,2015-11-30,2015-12-07,2015-12-14,2015-12-21,2015-12-28,2016-01-04,2016-01-11,2016-01-18,2016-01-25,2016-02-01,2016-02-08,2016-02-15,2016-02-22,2016-02-29,2016-03-07,2016-03-14,2016-03-21,2016-03-28,2016-04-04,2016-04-11,2016-04-18,2016-04-25,2016-05-02,2016-05-09,2016-05-16,2016-05-23,2016-05-30,2016-06-06,2016-06-13,2016-06-20,2016-06-27,2016-07-04,2016-07-11,2016-07-18,2016-07-25,2016-08-01,2016-08-08,2016-08-15,2016-08-22,2016-08-29,2016-09-05,2016-09-12,2016-09-19,2016-09-26,2016-10-03,2016-10-10,2016-10-17,2016-10-24,2016-10-31,2016-11-07,2016-11-14,2016-11-21,2016-11-28,2016-12-05,2016-12-12,2016-12-19,2016-12-26,2017-01-02,2017-01-09,2017-01-16,2017-01-23,2017-01-30,2017-02-06,2017-02-13,2017-02-20,2017-02-27,2017-03-06,2017-03-13,2017-03-20,2017-03-27,2017-04-03,2017-04-10,2017-04-17,2017-04-24,2017-05-01,2017-05-08,2017-05-15,2017-05-22,2017-05-29,2017-06-05,2017-06-12,2017-06-19,2017-06-26,2017-07-03,2017-07-10,2017-07-17,2017-07-24,2017-07-31,2017-08-07,2017-08-14,2017-08-21,2017-08-28
City Hotel-DEU,0.0,0.0,0.0,0.0,6.0,6.0,46.0,9.0,1.0,33.0,19.0,27.0,10.0,21.0,20.0,78.0,11.0,15.0,17.0,17.0,11.0,6.0,8.0,3.0,2.0,11.0,14.0,5.0,13.0,13.0,31.0,25.0,28.0,25.0,20.0,32.0,50.0,51.0,54.0,70.0,48.0,81.0,36.0,63.0,77.0,96.0,64.0,48.0,34.0,96.0,100.0,92.0,39.0,30.0,34.0,102.0,93.0,56.0,76.0,126.0,79.0,96.0,57.0,116.0,89.0,117.0,113.0,165.0,138.0,80.0,48.0,33.0,50.0,32.0,35.0,14.0,37.0,21.0,38.0,37.0,28.0,17.0,11.0,21.0,24.0,29.0,46.0,54.0,78.0,70.0,59.0,85.0,71.0,101.0,96.0,80.0,84.0,74.0,61.0,129.0,65.0,72.0,86.0,130.0,73.0,137.0,135.0,118.0,78.0,44.0,46.0,66.0,140.0,52.0
City Hotel-ESP,0.0,0.0,0.0,2.0,14.0,77.0,52.0,76.0,121.0,77.0,24.0,53.0,56.0,7.0,45.0,21.0,13.0,36.0,17.0,9.0,12.0,14.0,146.0,6.0,9.0,37.0,52.0,16.0,21.0,14.0,15.0,24.0,29.0,30.0,47.0,37.0,33.0,76.0,151.0,23.0,18.0,35.0,29.0,44.0,45.0,20.0,27.0,15.0,22.0,41.0,26.0,24.0,59.0,46.0,36.0,46.0,36.0,73.0,98.0,92.0,76.0,65.0,29.0,51.0,26.0,24.0,39.0,31.0,20.0,68.0,28.0,27.0,48.0,37.0,104.0,100.0,24.0,31.0,78.0,48.0,35.0,63.0,26.0,34.0,23.0,79.0,87.0,20.0,20.0,44.0,29.0,15.0,35.0,89.0,17.0,59.0,21.0,25.0,35.0,28.0,28.0,24.0,12.0,27.0,33.0,39.0,32.0,35.0,45.0,60.0,56.0,72.0,47.0,8.0
City Hotel-FRA,0.0,0.0,0.0,0.0,2.0,34.0,50.0,31.0,18.0,51.0,91.0,43.0,61.0,92.0,43.0,53.0,55.0,37.0,61.0,38.0,34.0,44.0,10.0,43.0,21.0,43.0,65.0,20.0,38.0,20.0,29.0,54.0,86.0,67.0,66.0,58.0,92.0,64.0,43.0,67.0,115.0,140.0,93.0,79.0,113.0,158.0,99.0,48.0,127.0,70.0,92.0,62.0,66.0,49.0,101.0,83.0,102.0,137.0,151.0,114.0,84.0,71.0,100.0,89.0,70.0,98.0,103.0,164.0,105.0,159.0,76.0,120.0,87.0,63.0,49.0,47.0,58.0,82.0,88.0,40.0,52.0,69.0,43.0,71.0,131.0,133.0,73.0,94.0,118.0,115.0,166.0,115.0,86.0,103.0,105.0,135.0,202.0,99.0,96.0,107.0,84.0,103.0,74.0,76.0,89.0,58.0,93.0,64.0,70.0,128.0,131.0,132.0,54.0,17.0
City Hotel-GBR,0.0,0.0,0.0,0.0,3.0,2.0,4.0,1.0,3.0,6.0,11.0,19.0,30.0,21.0,13.0,24.0,34.0,20.0,7.0,2.0,7.0,12.0,11.0,2.0,3.0,6.0,3.0,13.0,3.0,17.0,11.0,11.0,23.0,18.0,27.0,41.0,46.0,34.0,36.0,51.0,42.0,48.0,23.0,55.0,40.0,27.0,81.0,43.0,43.0,32.0,58.0,54.0,58.0,87.0,65.0,45.0,55.0,89.0,44.0,57.0,69.0,80.0,59.0,90.0,121.0,73.0,58.0,45.0,67.0,71.0,66.0,48.0,34.0,43.0,20.0,24.0,11.0,9.0,31.0,14.0,15.0,26.0,26.0,40.0,62.0,73.0,55.0,73.0,63.0,82.0,49.0,49.0,102.0,68.0,70.0,58.0,97.0,95.0,95.0,103.0,80.0,135.0,112.0,73.0,140.0,118.0,115.0,80.0,107.0,69.0,100.0,102.0,79.0,28.0
City Hotel-PRT,189.0,211.0,314.0,395.0,157.0,353.0,563.0,249.0,281.0,334.0,503.0,690.0,540.0,521.0,631.0,583.0,320.0,280.0,113.0,110.0,219.0,188.0,228.0,299.0,75.0,107.0,287.0,58.0,85.0,186.0,187.0,98.0,134.0,498.0,333.0,212.0,127.0,344.0,285.0,192.0,397.0,312.0,343.0,304.0,299.0,259.0,441.0,358.0,389.0,496.0,607.0,321.0,258.0,261.0,181.0,230.0,152.0,144.0,173.0,180.0,119.0,138.0,272.0,319.0,286.0,389.0,229.0,570.0,276.0,251.0,405.0,340.0,142.0,188.0,217.0,163.0,108.0,90.0,197.0,115.0,214.0,149.0,270.0,198.0,151.0,143.0,310.0,199.0,132.0,324.0,212.0,137.0,353.0,170.0,235.0,329.0,319.0,239.0,494.0,274.0,368.0,362.0,281.0,276.0,225.0,153.0,149.0,113.0,171.0,104.0,118.0,155.0,99.0,127.0
Resort Hotel-DEU,6.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,9.0,11.0,2.0,10.0,7.0,12.0,3.0,2.0,2.0,9.0,6.0,3.0,2.0,12.0,0.0,4.0,8.0,4.0,5.0,4.0,0.0,2.0,5.0,8.0,8.0,2.0,16.0,8.0,17.0,5.0,10.0,50.0,32.0,39.0,48.0,35.0,37.0,43.0,27.0,17.0,10.0,9.0,2.0,8.0,2.0,7.0,4.0,8.0,6.0,6.0,13.0,8.0,5.0,6.0,9.0,11.0,11.0,23.0,10.0,8.0,15.0,17.0,13.0,19.0,9.0,5.0,2.0,5.0,4.0,7.0,4.0,3.0,7.0,7.0,14.0,2.0,7.0,5.0,34.0,28.0,32.0,6.0,11.0,26.0,25.0,28.0,5.0,20.0,13.0,11.0,13.0,6.0,11.0,15.0,5.0,3.0,6.0,7.0,4.0,8.0,1.0,11.0,3.0,7.0,4.0
Resort Hotel-ESP,21.0,22.0,45.0,50.0,42.0,38.0,42.0,39.0,27.0,33.0,18.0,30.0,13.0,6.0,107.0,11.0,49.0,21.0,27.0,14.0,60.0,30.0,132.0,17.0,18.0,26.0,21.0,18.0,20.0,15.0,11.0,21.0,67.0,21.0,71.0,15.0,56.0,65.0,120.0,12.0,47.0,21.0,12.0,51.0,10.0,14.0,29.0,7.0,11.0,10.0,19.0,16.0,19.0,17.0,51.0,45.0,43.0,53.0,83.0,75.0,56.0,35.0,30.0,13.0,26.0,18.0,17.0,28.0,18.0,41.0,22.0,27.0,22.0,18.0,30.0,89.0,30.0,22.0,20.0,46.0,16.0,25.0,24.0,17.0,26.0,18.0,82.0,13.0,17.0,17.0,12.0,16.0,28.0,97.0,13.0,54.0,25.0,20.0,12.0,18.0,30.0,21.0,20.0,35.0,23.0,33.0,60.0,52.0,43.0,65.0,61.0,84.0,79.0,40.0
Resort Hotel-FRA,8.0,5.0,2.0,2.0,5.0,10.0,12.0,7.0,7.0,8.0,6.0,50.0,35.0,38.0,18.0,5.0,31.0,6.0,15.0,12.0,10.0,2.0,2.0,3.0,4.0,15.0,6.0,7.0,4.0,8.0,4.0,6.0,23.0,8.0,10.0,2.0,9.0,5.0,9.0,7.0,13.0,14.0,17.0,19.0,13.0,23.0,19.0,11.0,17.0,9.0,4.0,5.0,5.0,3.0,8.0,14.0,6.0,19.0,18.0,16.0,13.0,9.0,7.0,7.0,8.0,6.0,5.0,11.0,7.0,26.0,45.0,37.0,37.0,20.0,21.0,18.0,13.0,51.0,17.0,20.0,8.0,15.0,14.0,19.0,18.0,16.0,20.0,10.0,12.0,44.0,15.0,25.0,23.0,23.0,15.0,20.0,27.0,17.0,24.0,10.0,9.0,11.0,10.0,2.0,8.0,7.0,17.0,7.0,6.0,26.0,29.0,26.0,6.0,1.0
Resort Hotel-GBR,28.0,41.0,24.0,25.0,30.0,23.0,19.0,16.0,29.0,39.0,59.0,152.0,44.0,70.0,61.0,166.0,79.0,10.0,22.0,14.0,36.0,18.0,21.0,20.0,22.0,21.0,17.0,13.0,20.0,17.0,14.0,39.0,30.0,28.0,41.0,26.0,56.0,56.0,28.0,82.0,103.0,37.0,72.0,45.0,71.0,109.0,79.0,99.0,91.0,73.0,77.0,80.0,69.0,57.0,33.0,43.0,31.0,29.0,47.0,41.0,56.0,59.0,67.0,137.0,60.0,75.0,188.0,155.0,156.0,70.0,60.0,53.0,69.0,26.0,18.0,29.0,34.0,66.0,34.0,45.0,31.0,23.0,41.0,43.0,56.0,164.0,69.0,78.0,58.0,59.0,47.0,70.0,128.0,76.0,81.0,76.0,88.0,108.0,98.0,169.0,118.0,68.0,77.0,89.0,79.0,52.0,53.0,60.0,61.0,55.0,49.0,47.0,52.0,35.0
Resort Hotel-PRT,113.0,140.0,215.0,174.0,203.0,182.0,233.0,177.0,181.0,179.0,121.0,131.0,129.0,141.0,143.0,77.0,144.0,169.0,116.0,101.0,200.0,133.0,244.0,75.0,112.0,159.0,251.0,103.0,118.0,102.0,104.0,272.0,269.0,125.0,267.0,210.0,174.0,207.0,226.0,161.0,151.0,179.0,265.0,264.0,177.0,211.0,162.0,107.0,143.0,140.0,99.0,130.0,109.0,106.0,148.0,154.0,134.0,194.0,162.0,172.0,153.0,145.0,151.0,77.0,131.0,109.0,149.0,85.0,121.0,167.0,140.0,82.0,104.0,138.0,171.0,92.0,116.0,86.0,196.0,75.0,133.0,200.0,166.0,128.0,200.0,163.0,208.0,158.0,185.0,106.0,84.0,158.0,160.0,119.0,103.0,162.0,105.0,90.0,89.0,126.0,148.0,153.0,139.0,123.0,154.0,107.0,153.0,126.0,126.0,174.0,134.0,190.0,162.0,65.0
