Label,2015-06-29,2015-07-06,2015-07-13,2015-07-20,2015-07-27,2015-08-03,2015-08-10,2015-08-17,2015-08-24,2015-08-31,2015-09-07,2015-09-14,2015-09-21,2015-09-28,2015-10-05,2015-10-12,2015-10-19,2015-10-26,2015-11-02,2015-11-09,2015-11-16,2015-11-23,2015-11-30,2015-12-07,2015-12-14,2015-12-21,2015-12-28,2016-01-04,2016-01-11,2016-01-18,2016-01-25,2016-02-01,2016-02-08,2016-02-15,2016-02-22,2016-02-29,2016-03-07,2016-03-14,2016-03-21,2016-03-28,2016-04-04,2016-04-11,2016-04-18,2016-04-25,2016-05-02,2016-05-09,2016-05-16,2016-05-23,2016-05-30,2016-06-06,2016-06-13,2016-06-20,2016-06-27,2016-07-04,2016-07-11,2016-07-18,2016-07-25,2016-08-01,2016-08-08,2016-08-15,2016-08-22,2016-08-29,2016-09-05,2016-09-12,2016-09-19,2016-09-26,2016-10-03,2016-10-10,2016-10-17,2016-10-24,2016-10-31,2016-11-07,2016-11-14,2016-11-21,2016-11-28,2016-12-05,2016-12-12,2016-12-19,2016-12-26,2017-01-02,2017-01-09,2017-01-16,2017-01-23,2017-01-30,2017-02-06,2017-02-13,2017-02-20,2017-02-27,2017-03-06,2017-03-13,2017-03-20,2017-03-27,2017-04-03,2017-04-10,2017-04-17,2017-04-24,2017-05-01,2017-05-08,2017-05-15,2017-05-22,2017-05-29,2017-06-05,2017-06-12,2017-06-19,2017-06-26,2017-07-03,2017-07-10,2017-07-17,2017-07-24,2017-07-31,2017-08-07,2017-08-14,2017-08-21,2017-08-28
City Hotel-DEU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.08,0.0,22.58,20.0,17.86,4.0,0.0,18.75,12.0,9.8,24.07,8.57,4.17,19.75,19.44,19.05,16.88,17.71,25.0,10.42,8.82,4.17,8.0,19.57,20.51,30.0,20.59,9.8,1.08,17.86,18.42,15.08,21.52,22.92,17.54,6.03,5.62,23.93,23.01,6.06,13.04,20.0,8.33,12.12,48.0,46.88,22.86,35.71,67.57,47.62,31.58,24.32,10.71,17.65,27.27,28.57,16.67,37.93,30.43,22.22,44.87,15.71,28.81,22.35,29.58,25.74,18.75,35.0,27.38,21.62,32.79,22.48,21.54,15.28,16.28,6.92,28.77,14.6,16.3,11.02,37.18,15.91,26.09,28.79,13.57,21.15
City Hotel-ESP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.81,0.0,0.0,2.7,17.31,6.25,52.38,28.57,13.33,25.0,27.59,30.0,34.04,13.51,21.21,40.79,39.74,34.78,38.89,60.0,34.48,52.27,33.33,45.0,37.04,46.67,31.82,26.83,38.46,37.5,44.07,47.83,36.11,41.3,38.89,41.1,31.63,39.13,22.37,38.46,27.59,15.69,38.46,54.17,25.64,9.68,25.0,32.35,32.14,40.74,31.25,21.62,41.35,45.0,41.67,61.29,57.69,43.75,34.29,12.7,11.54,23.53,39.13,3.8,13.79,25.0,20.0,43.18,13.79,33.33,60.0,41.57,35.29,40.68,42.86,24.0,28.57,21.43,21.43,79.17,33.33,48.15,30.3,41.03,28.12,48.57,31.11,45.0,33.93,29.17,29.79,62.5
City Hotel-FRA,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,30.77,0.0,1.64,0.0,0.0,1.89,0.0,0.0,0.0,0.0,0.0,4.55,0.0,0.0,9.52,9.3,3.08,5.0,2.63,10.0,20.69,11.11,10.47,11.94,13.64,5.17,17.39,18.75,18.6,16.42,13.91,21.43,16.13,18.99,12.39,18.35,9.09,22.92,12.6,11.43,14.13,14.52,30.3,16.33,20.79,24.1,21.57,25.55,29.14,28.07,33.33,22.54,23.0,16.85,20.0,29.59,16.5,31.71,22.86,21.38,7.89,11.67,8.05,11.11,16.33,17.02,13.79,15.85,32.95,22.5,42.31,21.74,23.26,15.49,22.9,22.56,27.4,18.09,18.64,17.39,15.66,11.3,25.58,38.83,24.76,27.41,27.72,20.2,21.88,24.3,23.81,24.27,27.03,27.63,37.08,17.24,29.03,28.12,37.14,28.91,38.17,35.61,25.93,47.06
City Hotel-GBR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.76,18.18,18.18,26.09,16.67,25.93,26.83,32.61,23.53,47.22,45.1,35.71,27.08,30.43,38.18,22.5,29.63,18.52,32.56,9.3,18.75,31.03,20.37,36.21,33.33,35.38,31.11,30.91,28.09,38.64,21.05,46.38,32.5,16.95,24.44,44.63,19.18,20.69,17.78,35.82,33.8,43.94,18.75,17.65,13.95,35.0,54.17,36.36,55.56,58.06,28.57,46.67,23.08,30.77,35.0,30.65,43.84,21.82,34.25,19.05,18.29,26.53,28.57,20.59,39.71,47.14,36.21,43.3,32.63,30.53,59.22,15.0,38.52,17.86,30.14,32.14,33.05,27.83,22.5,22.43,31.88,31.0,50.0,26.58,21.43
City Hotel-PRT,55.56,72.04,62.74,74.94,88.54,81.3,72.82,70.28,75.09,68.26,58.45,66.23,72.04,64.11,61.49,68.1,45.62,66.43,61.95,70.0,18.72,54.26,61.4,85.95,20.0,61.68,64.81,24.14,29.41,61.83,54.01,30.61,23.13,67.47,61.86,39.15,18.9,61.92,72.28,58.33,56.68,65.06,71.14,66.78,64.21,69.11,61.68,60.61,74.29,70.16,76.44,46.11,52.33,43.3,43.09,43.91,53.95,64.58,73.41,68.33,61.34,71.74,75.74,75.24,63.29,69.67,86.03,79.47,83.33,80.88,90.37,86.18,54.23,45.74,69.12,40.49,35.19,45.56,61.42,58.26,67.76,71.14,75.93,54.04,66.89,58.74,52.26,73.37,62.12,66.05,58.49,66.42,86.97,84.12,85.96,86.93,84.01,76.99,90.28,63.5,83.42,80.11,80.07,71.74,79.56,58.82,61.74,67.26,69.01,48.08,50.85,55.48,60.61,22.05
Resort Hotel-DEU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,2.33,0.0,0.0,20.0,0.0,0.0,0.0,0.0,14.29,25.0,25.0,33.33,16.67,69.23,37.5,0.0,16.67,0.0,27.27,54.55,30.43,10.0,12.5,20.0,11.76,15.38,5.26,22.22,0.0,0.0,60.0,25.0,71.43,0.0,0.0,28.57,42.86,21.43,0.0,28.57,40.0,0.0,0.0,0.0,0.0,36.36,19.23,16.0,7.14,40.0,55.0,30.77,18.18,23.08,50.0,54.55,33.33,40.0,0.0,33.33,0.0,75.0,37.5,100.0,45.45,0.0,42.86,25.0
Resort Hotel-ESP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.56,10.0,0.0,0.0,51.4,9.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.23,0.0,0.0,3.08,4.17,0.0,8.51,9.52,8.33,33.33,10.0,28.57,13.79,28.57,27.27,30.0,47.37,18.75,5.26,23.53,45.1,26.67,46.51,37.74,36.14,34.67,35.71,40.0,40.0,38.46,30.77,27.78,5.88,17.86,22.22,46.34,27.27,29.63,22.73,11.11,6.67,14.61,20.0,36.36,30.0,13.04,25.0,16.0,20.83,11.76,11.54,38.89,23.17,30.77,23.53,5.88,25.0,31.25,32.14,39.18,46.15,33.33,20.0,40.0,41.67,44.44,36.67,38.1,45.0,25.71,52.17,42.42,30.0,42.31,44.19,47.69,39.34,48.81,44.3,62.5
Resort Hotel-FRA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,0.0,7.14,0.0,5.26,7.69,0.0,5.26,9.09,0.0,0.0,0.0,0.0,0.0,0.0,25.0,28.57,33.33,5.26,27.78,31.25,0.0,11.11,42.86,0.0,37.5,0.0,20.0,18.18,42.86,23.08,6.67,5.41,5.41,5.0,0.0,0.0,0.0,33.33,23.53,5.0,12.5,6.67,21.43,42.11,22.22,0.0,30.0,20.0,0.0,15.91,0.0,16.0,30.43,34.78,26.67,10.0,18.52,17.65,37.5,30.0,33.33,0.0,20.0,50.0,87.5,14.29,29.41,42.86,33.33,38.46,27.59,46.15,66.67,100.0
Resort Hotel-GBR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.69,59.21,0.0,0.0,32.79,1.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.57,0.0,0.0,1.79,0.0,7.14,4.88,28.16,2.7,1.39,2.22,2.82,0.92,0.0,2.02,5.49,2.74,3.9,2.5,0.0,5.26,6.06,13.95,16.13,27.59,36.17,26.83,17.86,16.95,1.49,4.38,8.33,12.0,2.13,1.29,16.67,28.57,16.67,32.08,8.7,42.31,5.56,31.03,20.59,21.21,23.53,22.22,22.58,8.7,17.07,20.93,16.07,15.24,7.25,5.13,18.97,20.34,6.38,18.57,16.41,35.53,6.17,14.47,30.68,8.33,17.35,26.04,36.44,11.76,29.87,17.98,25.32,11.54,28.3,28.33,27.87,20.0,22.45,27.66,15.38,17.14
Resort Hotel-PRT,43.36,33.57,41.4,42.53,47.78,40.11,44.21,36.72,44.2,54.75,56.2,65.65,76.74,80.85,39.86,12.99,58.33,29.59,37.07,51.49,28.0,14.29,57.79,12.0,40.18,47.17,28.69,37.86,11.86,10.78,15.38,31.62,57.25,20.8,49.44,38.57,28.74,33.33,48.67,30.43,31.13,48.6,51.32,64.39,44.63,70.62,57.41,71.03,56.64,60.71,62.63,50.0,65.14,50.94,58.78,43.51,40.3,43.81,46.91,38.37,43.79,47.59,64.9,45.45,64.89,66.06,75.84,54.12,48.76,21.56,52.14,23.17,18.27,26.09,35.09,31.52,12.07,26.74,32.14,16.0,9.77,15.0,12.05,15.62,26.5,31.9,35.1,51.9,41.62,41.51,45.24,37.34,51.88,46.22,45.63,45.68,50.48,53.33,37.08,48.41,55.41,50.98,55.4,54.47,45.45,49.53,43.14,54.76,46.03,45.98,41.04,43.16,41.98,44.62
